entani論文のPartialIncorporation_wᴸ,entani論文のPartialIncorporation_wᵁ,entani論文のPartialIncorporation_wᴸ_2,entani論文のPartialIncorporation_wᵁ_2,解の非唯一性考慮のPartialIncorporation_wᴸ,解の非唯一性考慮のPartialIncorporation_Ŵ,Trial,解の非唯一性考慮のPartialIncorporation_wᴸ_2,解の非唯一性考慮のPartialIncorporation_wᵁ_2,解の非唯一性考慮のPartialIncorporation_wᵁ_1,entani論文のPartialIncorporation_wᵁ_1,解の非唯一性考慮のPartialIncorporation_wᵁ,entani論文のPartialIncorporation_wᴸ_1,解の非唯一性考慮のPartialIncorporation_wᴸ_1,entani論文のPartialIncorporation_Ŵ
"[0.2222222122222221, 0.20000000666666637, 0.20000000666666637, 0.13333335666666735, 0.20000000666666637]","[0.26666662333333346, 0.2222222122222221, 0.20000000666666637, 0.13333335666666735, 0.2222222122222221]","[0.2222222122222221, 0.2222222122222221, 0.11111112111111121, 0.1111111111111111, 0.2222222122222221]","[0.2222222122222221, 0.22222224222222242, 0.2222222222222222, 0.2222222122222221, 0.2222222122222221]","[0.22222221472222203, 0.2000000133333339, 0.2000000133333339, 0.1333333425, 0.2000000133333339]","[[0.2666666174999984, 0.2000000133333339, 0.2000000133333339, 0.1333333425, 0.2000000133333339], [0.22222221472222203, 0.22222221472222203, 0.2000000133333339, 0.1333333425, 0.22222221472222203]]",357,"[0.22222221472222203, 0.22222221472222203, 0.1111111186111113, 0.11111111111111112, 0.22222221472222203]","[0.22222221472222203, 0.2222222372222226, 0.22222222222222224, 0.22222221472222203, 0.22222221472222203]","[0.34999998999999954, 0.2000000133333339, 0.2000000133333339, 0.2000000133333339, 0.2000000133333339]","[0.29999997666666767, 0.20000000666666637, 0.20000000666666637, 0.19999999000000052, 0.20000000666666637]","[0.2666666174999984, 0.22222221472222203, 0.2000000133333339, 0.1333333425, 0.22222221472222203]","[0.19999999000000052, 0.14999998833333383, 0.20000000666666637, 0.10000000333333318, 0.14999998833333383]","[0.2000000133333339, 0.17499999499999977, 0.2000000133333339, 0.10000000666666695, 0.17499999499999977]","[[0.26666662333333346, 0.20000000666666637, 0.20000000666666637, 0.13333335666666735, 0.20000000666666637], [0.2222222122222221, 0.2222222122222221, 0.20000000666666637, 0.13333335666666735, 0.2222222122222221]]"
"[0.22222223222222254, 0.22222221972222245, 0.2222222190079356, 0.11111110968253979, 0.22222221936507958]","[0.22222223222222254, 0.22222221972222245, 0.2222222190079356, 0.11111110968253979, 0.22222221936507958]","[0.22222221936507958, 0.2222222193650789, 0.11111110968253946, 0.11111110968253979, 0.22222221936507958]","[0.22222223222222254, 0.2222222193650789, 0.22222221936507958, 0.22222221936507958, 0.22222221936507958]","[0.22222223097222163, 0.2222222197222223, 0.22222221960503516, 0.11111110997829854, 0.2222222197222223]","[[0.22222223097222163, 0.2222222197222223, 0.22222221960503516, 0.11111110997829854, 0.2222222197222223], [0.22222223097222182, 0.2222222197222223, 0.22222221960503516, 0.11111110997829854, 0.2222222197222223]]",358,"[0.2222222197222223, 0.2222222197222223, 0.11111110986111115, 0.11111110986111115, 0.2222222197222223]","[0.22222223097222182, 0.2222222197222223, 0.2222222197222223, 0.2222222197222223, 0.2222222197222223]","[0.22222221995659708, 0.22222223050347212, 0.22222221960503516, 0.1666666649674478, 0.22222221995659708]","[0.2222222309722215, 0.22222221972222245, 0.22222221972222242, 0.1666666647916668, 0.22222221972222245]","[0.22222223097222163, 0.2222222197222223, 0.22222221960503516, 0.11111110997829854, 0.2222222197222223]","[0.22222221972222245, 0.22222221972222245, 0.22222221972222242, 0.11111110986111121, 0.1666666647916668]","[0.22222221995659708, 0.22222221995659708, 0.22222221960503516, 0.11111110997829854, 0.1666666649674478]","[[0.2222222309722215, 0.22222221972222245, 0.2222222190079356, 0.11111110968253979, 0.22222222061508068], [0.22222223222222254, 0.22222221972222245, 0.2222222190079356, 0.11111110968253979, 0.22222221936507958]]"
"[0.2222222088888887, 0.2222222688888896, 0.19047619847619054, 0.1428571488571429, 0.19047619847619054]","[0.23809522709523795, 0.238095227095238, 0.19047619847619054, 0.1746031252698406, 0.19047619847619054]","[0.2222222088888887, 0.2222222088888887, 0.1111111344444448, 0.11111110444444434, 0.11111110444444434]","[0.2222222088888887, 0.2222222688888896, 0.2222222088888887, 0.2222222088888887, 0.2222222088888887]","[0.24999999435546902, 0.2500000395117169, 0.1515150915151604, 0.11363648928087677, 0.18181824181817294]","[[0.24999999435546902, 0.3030301830303208, 0.1515150915151604, 0.11363648928087677, 0.18181824181817294], [0.24999999435546902, 0.2500000395117169, 0.1515150915151604, 0.12499999717773451, 0.2234848774399191]]",359,"[0.24999999435546902, 0.24999999435546902, 0.12500001975585845, 0.12499999717773451, 0.12499999717773451]","[0.24999999435546902, 0.2500000395117169, 0.24999999435546902, 0.24999999435546902, 0.24999999435546902]","[0.3030301830303208, 0.3030301830303208, 0.18181824181817294, 0.1515150915151604, 0.18181824181817294]","[0.238095227095238, 0.2857142977142858, 0.19047619847619054, 0.1428571488571429, 0.19047619847619054]","[0.24999999435546902, 0.3030301830303208, 0.1515150915151604, 0.12499999717773451, 0.2234848774399191]","[0.19047619847619054, 0.238095227095238, 0.1428571488571429, 0.09523809923809527, 0.1428571488571429]","[0.18181824181817294, 0.3030301830303208, 0.1515150915151604, 0.09090912090908647, 0.1515150915151604]","[[0.23809522709523795, 0.238095227095238, 0.19047619847619054, 0.1428571488571429, 0.19047619847619054], [0.2222222088888887, 0.2222222688888896, 0.19047619847619054, 0.1746031252698406, 0.19047619847619054]]"
"[0.2222222309722215, 0.22222221972222245, 0.22222221972222245, 0.11111110986111122, 0.2222222197222224]","[0.2222222309722215, 0.22222221972222245, 0.22222221972222245, 0.11111110986111122, 0.2222222197222224]","[0.22222221222222321, 0.2222222309722215, 0.08333333145833344, 0.11111110611111161, 0.22222221222222321]","[0.2222222309722215, 0.2499999943750003, 0.22222221222222321, 0.22222221222222321, 0.2222222309722215]","[0.22222223980286743, 0.222222216577061, 0.2222222078673835, 0.1111111119175627, 0.2222222238351254]","[[0.22222223980286743, 0.222222216577061, 0.2222222078673835, 0.1111111119175627, 0.2222222238351254], [0.22222223980286732, 0.222222216577061, 0.2222222078673835, 0.1111111119175627, 0.2222222238351254]]",360,"[0.2222222238351254, 0.222222216577061, 0.08333332994623659, 0.1111111119175627, 0.222222216577061]","[0.22222223980286732, 0.24999998983870975, 0.2222222238351254, 0.2222222238351254, 0.222222216577061]","[0.22222222383512544, 0.222222216577061, 0.22222222383512544, 0.16666666787634407, 0.22222222383512544]","[0.2222222309722215, 0.22222221972222245, 0.22222221972222245, 0.1666666647916668, 0.22222221972222245]","[0.22222223980286743, 0.222222216577061, 0.2222222078673835, 0.1111111119175627, 0.2222222238351254]","[0.22222221972222245, 0.22222221972222245, 0.22222221972222245, 0.11111110986111122, 0.1666666647916668]","[0.22222222383512544, 0.222222216577061, 0.2222222078673835, 0.11111111191756272, 0.16666666787634407]","[[0.2222222309722215, 0.22222221972222245, 0.22222221972222245, 0.11111110986111122, 0.2222222197222224], [0.2222222309722215, 0.22222221972222245, 0.22222221972222245, 0.11111110986111122, 0.2222222197222224]]"
"[0.2000000250000001, 0.23076923076923078, 0.2000000250000001, 0.1076922926923076, 0.2000000250000001]","[0.23076923076923078, 0.23076923076923078, 0.23076922076923062, 0.16923069423076884, 0.2000000250000001]","[0.23076923076923078, 0.23076923076923078, 0.23076922076923062, 0.07692307692307693, 0.15384615384615388]","[0.23076923076923078, 0.23076923076923078, 0.23076923076923075, 0.15384615384615388, 0.23076923076923078]","[0.21428573053571398, 0.23076923076923078, 0.2142857130357143, 0.09340658715659389, 0.21428573053571398]","[[0.21428573053571398, 0.23076923076923078, 0.2142857130357143, 0.12637359512362695, 0.21428573053571398], [0.23076923076923078, 0.23076923076923078, 0.2307692207692304, 0.09340658715659389, 0.21428573053571398]]",361,"[0.23076923076923078, 0.23076923076923078, 0.2307692207692304, 0.07692307692307693, 0.15384615884615396]","[0.23076923076923078, 0.23076923076923078, 0.23076923076923078, 0.15384615884615396, 0.23076923076923078]","[0.21428573053571398, 0.2857142607142862, 0.2142857130357143, 0.2142857130357143, 0.21428573053571398]","[0.2000000250000001, 0.3199999399999998, 0.2000000250000001, 0.2000000250000001, 0.2000000250000001]","[0.23076923076923078, 0.23076923076923078, 0.2307692207692304, 0.12637359512362695, 0.21428573053571398]","[0.2000000250000001, 0.2000000250000001, 0.1599999699999999, 0.07999998499999995, 0.2000000250000001]","[0.2142857130357143, 0.21428573053571398, 0.1428571303571431, 0.07142856517857155, 0.2142857130357143]","[[0.2000000250000001, 0.23076923076923078, 0.2000000250000001, 0.16923069423076884, 0.2000000250000001], [0.23076923076923078, 0.23076923076923078, 0.23076922076923062, 0.1076922926923076, 0.2000000250000001]]"
"[0.20000001600000072, 0.23999998000000045, 0.1600001679999994, 0.19999990000000234, 0.19999993599999713]","[0.20000001600000072, 0.23999998000000045, 0.1600001679999994, 0.19999990000000234, 0.19999993599999713]","[0.19999990000000234, 0.23999998000000045, 0.07999999333333348, 0.09999995000000117, 0.12000007333333162]","[0.24000014666666325, 0.23999998000000045, 0.19999990000000234, 0.19999990000000234, 0.23999998000000045]","[0.21052633246710567, 0.23076924186390524, 0.21052633246710567, 0.11740889941490085, 0.21052633246710567]","[[0.21052633246710567, 0.23076924186390524, 0.21052633246710567, 0.1376517607347778, 0.21052633246710567], [0.23076919378698263, 0.23076924186390524, 0.21052633246710567, 0.11740889941490085, 0.21052633246710567]]",362,"[0.23076919378698266, 0.23076924186390524, 0.07692308062130175, 0.11538459689349133, 0.11538462093195262]","[0.23076924186390524, 0.23076924186390524, 0.23076919378698266, 0.23076919378698266, 0.23076924186390524]","[0.21052633246710567, 0.31578947368421056, 0.21052633246710567, 0.21052629911184156, 0.21052633246710567]","[0.2000000160000007, 0.2999999639999984, 0.2000000160000007, 0.19999993599999713, 0.2000000160000007]","[0.23076919378698263, 0.23076924186390524, 0.21052633246710567, 0.1376517607347778, 0.21052633246710567]","[0.2000000160000007, 0.2000000160000007, 0.1499999819999992, 0.09999998799999947, 0.19999993599999713]","[0.21052633246710567, 0.21052633246710567, 0.15789473684210528, 0.10526315789473685, 0.21052629911184156]","[[0.2000000160000007, 0.23999998000000045, 0.1600001679999994, 0.19999990000000234, 0.19999993599999713], [0.20000001600000072, 0.23999998000000045, 0.1600001679999994, 0.19999990000000234, 0.19999993599999713]]"
"[0.2999999992105264, 0.19999999157894763, 0.20000000210526309, 0.1000000076315786, 0.19999999947368424]","[0.2999999992105264, 0.19999999157894763, 0.20000000210526309, 0.1000000076315786, 0.19999999947368424]","[0.20000000210526309, 0.19999999157894763, 0.20000000210526309, 0.09999999973684214, 0.19999999157894763]","[0.2999999992105264, 0.20000000210526309, 0.20000000210526309, 0.19999999157894763, 0.20000000210526309]","[0.28235296867646964, 0.1764705769852946, 0.20000005999999804, 0.11764705132352975, 0.18823530036764652]","[[0.28235296867646964, 0.1764705769852946, 0.2352941026470595, 0.11764705132352975, 0.18823530036764652], [0.28235296867646964, 0.1999999600000013, 0.20000005999999804, 0.11764705132352975, 0.1999999600000013]]",363,"[0.20000005999999804, 0.1999999600000013, 0.20000005999999804, 0.09999995500000147, 0.1999999600000013]","[0.2999998650000044, 0.20000005999999804, 0.20000005999999804, 0.1999999600000013, 0.20000005999999804]","[0.3529411539705892, 0.2352941026470595, 0.2352941026470595, 0.11764709382352796, 0.2352941026470595]","[0.2999999992105264, 0.19999999947368427, 0.20000000210526309, 0.19999999947368421, 0.19999999947368424]","[0.28235296867646964, 0.1999999600000013, 0.2352941026470595, 0.11764705132352975, 0.1999999600000013]","[0.19999999947368424, 0.1499999996052632, 0.19999999118421044, 0.09999999973684214, 0.09999999973684211]","[0.2352941026470595, 0.1764705769852946, 0.2352941026470595, 0.11764705132352975, 0.05882354691176398]","[[0.2999999992105264, 0.19999999157894763, 0.20000000210526309, 0.1000000076315786, 0.19999999947368424], [0.2999999992105264, 0.19999999157894763, 0.20000000210526309, 0.10000000763157862, 0.19999999947368424]]"
"[0.22222223222222232, 0.21052638245614225, 0.11988305712614913, 0.21052625578947207, 0.2222222193650793]","[0.2368420852631573, 0.22222221936507935, 0.11988305712614913, 0.21345027192146987, 0.2222222193650793]","[0.22222221936507935, 0.22222221936507935, 0.11111110968253968, 0.11111110968253968, 0.2222222193650793]","[0.22222223222222232, 0.22222221936507935, 0.22222221936507935, 0.2222222193650793, 0.22222221936507935]","[0.22222223347222228, 0.20512824226578025, 0.22222221097222195, 0.1111111111111111, 0.22222222222222232]","[[0.2307692418639057, 0.20512824226578025, 0.22222221097222195, 0.1111111111111111, 0.230769193786981], [0.22222223347222228, 0.22222222222222232, 0.22222221097222195, 0.1111111111111111, 0.22222222222222232]]",364,"[0.2222222222222222, 0.22222222222222232, 0.11111111111111116, 0.1111111111111111, 0.2222222222222222]","[0.22222223347222228, 0.22222222222222232, 0.2222222222222222, 0.2222222222222222, 0.22222222222222232]","[0.2307692418639057, 0.230769193786981, 0.2307692418639057, 0.230769193786981, 0.2307692418639057]","[0.2368420852631573, 0.21052638245614225, 0.2368420852631573, 0.21052625578947207, 0.2368420852631573]","[0.2307692418639057, 0.22222222222222232, 0.22222221097222195, 0.1111111111111111, 0.230769193786981]","[0.2368420852631573, 0.11842104263157865, 0.10526319122807112, 0.07894736175438577, 0.21052625578947207]","[0.2307692418639057, 0.11538462093195286, 0.1153845968934905, 0.0769230806213019, 0.230769193786981]","[[0.2368420852631573, 0.21052638245614225, 0.11988305712614913, 0.21052625578947207, 0.2222222193650793], [0.22222223222222232, 0.22222221936507935, 0.11988305712614913, 0.21345027192146987, 0.2222222193650793]]"
"[0.22222224888888842, 0.22222221833333322, 0.16666666444444456, 0.16666667777777722, 0.16666666444444456]","[0.27777777500000045, 0.22222221833333322, 0.16666666444444456, 0.22222220388888922, 0.16666666444444456]","[0.2500000099999995, 0.16666666444444456, 0.16666666444444456, 0.08333333222222228, 0.16666666444444456]","[0.3333333288888891, 0.2500000099999995, 0.16666666444444456, 0.16666667777777722, 0.16666666444444456]","[0.22916666736327793, 0.2083333733333328, 0.16666666666666666, 0.16666666666666669, 0.16666666666666666]","[[0.22916666736327793, 0.2083333733333328, 0.16666666666666666, 0.22916662597005602, 0.16666666666666666], [0.29166662666666726, 0.2083333733333328, 0.16666666666666666, 0.16666666666666669, 0.16666666666666666]]",365,"[0.29166662666666726, 0.16666666666666666, 0.16666666666666666, 0.08333333333333333, 0.16666666666666666]","[0.3333333333333333, 0.29166662666666726, 0.16666666666666666, 0.16666666666666669, 0.16666666666666666]","[0.22916666736327793, 0.22916662597005602, 0.22916662597005602, 0.22916662597005602, 0.22916662597005602]","[0.22222224888888842, 0.22222221888888893, 0.22222220388888922, 0.22222221888888893, 0.22222220388888922]","[0.29166662666666726, 0.2083333733333328, 0.16666666666666666, 0.22916662597005602, 0.16666666666666666]","[0.22222220388888922, 0.11111112444444421, 0.11111110944444447, 0.22222220388888922, 0.11111110944444447]","[0.22916662597005602, 0.11458333368163896, 0.11458331298502801, 0.22916662597005602, 0.11458331298502801]","[[0.22222224888888842, 0.22222221833333322, 0.16666666444444456, 0.22222220388888922, 0.16666666444444456], [0.27777777500000045, 0.22222221833333322, 0.16666666444444456, 0.16666667777777722, 0.16666666444444456]]"
"[0.2222222222222222, 0.2222222222222222, 0.2222222222222222, 0.11111111111111116, 0.2222222222222222]","[0.2222222222222222, 0.2222222222222222, 0.2222222222222222, 0.11111111111111116, 0.2222222222222222]","[0.2222222222222222, 0.2222222222222222, 0.18518517518518557, 0.1111111111111111, 0.18518517518518557]","[0.2222222222222222, 0.2222222222222222, 0.2222222222222222, 0.18518517518518557, 0.2222222222222222]","[0.2222222372222219, 0.22222221793650804, 0.22222221793650804, 0.11111110896825405, 0.22222221793650804]","[[0.2222222372222219, 0.22222221793650804, 0.22222221793650804, 0.11111110896825405, 0.22222221793650804], [0.2222222372222219, 0.22222221793650804, 0.22222221793650804, 0.11111110896825402, 0.22222221793650804]]",366,"[0.22222221793650804, 0.22222221793650804, 0.18518518804232736, 0.11111110896825402, 0.18518518804232736]","[0.2222222372222219, 0.22222221793650804, 0.22222221793650804, 0.18518518804232736, 0.22222221793650804]","[0.2222222372222219, 0.222222217936508, 0.22222221793650804, 0.18518518804232798, 0.22222221793650804]","[0.2222222222222222, 0.2222222222222222, 0.22222222222222224, 0.18518517518518457, 0.2222222222222222]","[0.2222222372222219, 0.22222221793650804, 0.22222221793650804, 0.11111110896825405, 0.22222221793650804]","[0.18518517518518457, 0.2222222222222222, 0.2222222222222222, 0.11111111111111112, 0.18518517518518457]","[0.18518518804232798, 0.222222217936508, 0.22222221793650804, 0.111111108968254, 0.18518518804232798]","[[0.2222222222222222, 0.2222222222222222, 0.2222222222222222, 0.11111111111111116, 0.2222222222222222], [0.2222222222222222, 0.2222222222222222, 0.2222222222222222, 0.11111111111111116, 0.2222222222222222]]"
"[0.22222221422222127, 0.20000000999999873, 0.1333333903333366, 0.19999998500000185, 0.20000000999999873]","[0.2666666046666641, 0.22222221422222127, 0.1333333903333366, 0.19999998500000185, 0.22222219622221911]","[0.22222221422222127, 0.22222221422222127, 0.11111112511111282, 0.11111110711111064, 0.22222219622221911]","[0.22222221422222127, 0.22222225022222564, 0.22222221422222127, 0.22222219622221911, 0.22222221422222127]","[0.22222223222222226, 0.20000002000000125, 0.18333335833333408, 0.1499999899999994, 0.20000002000000125]","[[0.26666661166666406, 0.20000002000000125, 0.18333335833333408, 0.1499999899999994, 0.20000002000000125], [0.22222223222222226, 0.22222223222222226, 0.18333335833333408, 0.1499999899999994, 0.2222221872222221]]",367,"[0.22222223222222226, 0.22222223222222226, 0.11111111611111113, 0.11111111611111113, 0.2222221872222221]","[0.22222223222222226, 0.22222223222222226, 0.22222223222222226, 0.2222221872222221, 0.22222223222222226]","[0.2999999799999988, 0.20000002000000125, 0.20000002000000125, 0.20000002000000125, 0.20000002000000125]","[0.2666666633333337, 0.20000000999999873, 0.19999998500000185, 0.19999998500000185, 0.20000000999999873]","[0.26666661166666406, 0.22222223222222226, 0.18333335833333408, 0.1499999899999994, 0.2222221872222221]","[0.20000000999999873, 0.19999998500000185, 0.13333333166666686, 0.13333333166666686, 0.19999998500000185]","[0.20000002000000125, 0.20000002000000125, 0.1499999899999994, 0.1499999899999994, 0.20000002000000125]","[[0.2666666046666641, 0.20000000999999873, 0.1333333903333366, 0.19999998500000185, 0.20000000999999873], [0.22222221422222127, 0.22222221422222127, 0.1333333903333366, 0.19999998500000185, 0.22222219622221911]]"
"[0.22222222862222218, 0.22222222862222218, 0.22222221062222242, 0.08496735551857912, 0.22222222142222217]","[0.23529410621848812, 0.23529410621848812, 0.22222221062222242, 0.11111111071111109, 0.22222222142222217]","[0.22222222142222225, 0.22222222142222225, 0.11111111431111109, 0.11111111071111109, 0.22222222142222217]","[0.22222222862222218, 0.22222222862222218, 0.22222222142222217, 0.22222222142222217, 0.22222222142222225]","[0.22222222949494957, 0.22222222949494957, 0.2222222090404039, 0.08496735720948811, 0.2222222213131313]","[[0.2352941062184883, 0.2352941062184883, 0.2222222090404039, 0.08496735720948811, 0.2222222213131313], [0.22222222949494957, 0.22222222949494957, 0.2222222090404039, 0.11111111065656565, 0.2222222213131313]]",368,"[0.2222222213131313, 0.2222222213131313, 0.11111111474747479, 0.11111111065656565, 0.2222222213131313]","[0.22222222949494957, 0.22222222949494957, 0.2222222213131313, 0.2222222213131313, 0.2222222213131313]","[0.2352941062184883, 0.23529415478991303, 0.2352941062184883, 0.20588235508403346, 0.2352941062184883]","[0.23529410621848812, 0.23529415478991367, 0.23529410621848812, 0.17647055537815326, 0.23529410621848812]","[0.2352941062184883, 0.2352941062184883, 0.2222222090404039, 0.11111111065656565, 0.2222222213131313]","[0.23529410621848812, 0.23529410621848812, 0.11764707739495683, 0.05882352655462203, 0.17647055537815326]","[0.2352941062184883, 0.2352941062184883, 0.11764707739495651, 0.05882352655462208, 0.20588235508403346]","[[0.23529410621848812, 0.23529410621848812, 0.22222221062222242, 0.08496735551857912, 0.22222222142222217], [0.22222222862222218, 0.22222222862222218, 0.22222221062222242, 0.11111111071111109, 0.22222222142222217]]"
"[0.22222230972222085, 0.250000012, 0.16666667466666668, 0.11111103961111246, 0.22222230972222085]","[0.24999996400000002, 0.250000012, 0.16666667466666668, 0.13888869388889152, 0.22222230972222085]","[0.24999996400000002, 0.250000012, 0.125000006, 0.08333333733333334, 0.16666667466666668]","[0.24999996400000002, 0.250000012, 0.16666667466666668, 0.16666667466666668, 0.250000012]","[0.22222230972221985, 0.26315783473684967, 0.1578947768421002, 0.09356724396198035, 0.22222230972221985]","[[0.22222230972221985, 0.26315783473684967, 0.1578947768421002, 0.1345027689766105, 0.22222230972221985], [0.26315783473684967, 0.26315783473684967, 0.1578947768421002, 0.09356724396198035, 0.22222230972221985]]",369,"[0.26315783473684967, 0.26315783473684967, 0.13157891736842484, 0.0789473884210501, 0.1578947768421002]","[0.26315783473684967, 0.26315783473684967, 0.1578947768421002, 0.1578947768421002, 0.26315783473684967]","[0.22222230972221985, 0.26666654666666995, 0.22222219722222292, 0.22222219722222292, 0.22222230972221985]","[0.22222230972222085, 0.2666665466666686, 0.22222219722222258, 0.22222219722222258, 0.22222230972222085]","[0.26315783473684967, 0.26315783473684967, 0.1578947768421002, 0.1345027689766105, 0.22222230972221985]","[0.22222219722222258, 0.22222230972222085, 0.06666663666666715, 0.11111109861111129, 0.22222219722222258]","[0.22222219722222292, 0.22222230972221985, 0.06666663666666749, 0.11111109861111146, 0.22222219722222292]","[[0.22222230972222085, 0.250000012, 0.16666667466666668, 0.13888869388889152, 0.22222230972222085], [0.24999996400000002, 0.250000012, 0.16666667466666668, 0.11111103961111246, 0.22222230972222085]]"
"[0.2222222372222216, 0.2222222372222216, 0.22222220347222302, 0.12393169268162041, 0.19230766230769392]","[0.23076922076923134, 0.23076922076923134, 0.22222220347222302, 0.14102565977563997, 0.19230766230769392]","[0.23076922076923134, 0.23076922076923134, 0.11538463205128113, 0.07692307358974378, 0.19230766230769392]","[0.23076922076923134, 0.23076926410256227, 0.23076922076923134, 0.19230766230769392, 0.23076922076923134]","[0.222222237222223, 0.222222237222223, 0.2222222034722212, 0.09401715151709578, 0.2222222034722212]","[[0.222222237222223, 0.222222237222223, 0.2222222034722212, 0.1111111186111115, 0.2222222034722212], [0.23076922076923093, 0.23076922076923093, 0.2222222034722212, 0.09401715151709578, 0.2222222034722212]]",370,"[0.23076922076923093, 0.23076922076923093, 0.11538463205128184, 0.07692307358974364, 0.21153846320512823]","[0.23076922076923093, 0.23076926410256368, 0.23076922076923093, 0.21153846320512823, 0.23076922076923093]","[0.222222237222223, 0.222222237222223, 0.2222222034722212, 0.18518519768518585, 0.2222222034722212]","[0.2222222372222216, 0.2222222372222216, 0.22222220347222302, 0.18518519768518468, 0.22222220347222302]","[0.23076922076923093, 0.23076922076923093, 0.2222222034722212, 0.1111111186111115, 0.2222222034722212]","[0.22222220347222302, 0.22222220347222302, 0.18518519768518468, 0.1111111186111108, 0.18518519768518468]","[0.2222222034722212, 0.2222222034722212, 0.18518519768518585, 0.1111111186111115, 0.18518519768518585]","[[0.2222222372222216, 0.2222222372222216, 0.22222220347222302, 0.14102565977563997, 0.19230766230769392], [0.23076922076923134, 0.23076922076923134, 0.22222220347222302, 0.12393169268162041, 0.19230766230769392]]"
"[0.22222221222222233, 0.20000003999999882, 0.13333337333333262, 0.1999999900000003, 0.1999999900000003]","[0.2666666066666681, 0.22222221222222233, 0.13333337333333262, 0.1999999900000003, 0.22222221222222233]","[0.1999999900000003, 0.14999998000000062, 0.10000001999999941, 0.14999998000000062, 0.1999999900000003]","[0.29999996000000123, 0.20000003999999882, 0.1999999900000003, 0.1999999900000003, 0.1999999900000003]","[0.22222221606837597, 0.20000004000000027, 0.15833335429487216, 0.17499999749999995, 0.19999998999999993]","[[0.22222221606837597, 0.22222221606837597, 0.15833335429487216, 0.17499999749999995, 0.22222221606837597], [0.2666666182051278, 0.20000004000000027, 0.15833335429487216, 0.17499999749999995, 0.19999998999999993]]",371,"[0.19999998999999993, 0.17499999749999995, 0.10000002000000013, 0.17499999749999995, 0.19999998999999993]","[0.3499999949999999, 0.20000004000000027, 0.19999998999999993, 0.19999998999999993, 0.19999998999999993]","[0.22222221606837597, 0.25000001384615406, 0.22222221606837597, 0.22222221606837597, 0.22222221606837597]","[0.22222221222222233, 0.2500000224999998, 0.22222221222222233, 0.22222221222222233, 0.22222221222222233]","[0.2666666182051278, 0.22222221606837597, 0.15833335429487216, 0.17499999749999995, 0.22222221606837597]","[0.22222221222222233, 0.22222221222222233, 0.08333334083333327, 0.11111110611111116, 0.22222221222222233]","[0.22222221606837597, 0.22222221606837597, 0.08333333794871801, 0.11111110803418799, 0.22222221606837597]","[[0.22222221222222233, 0.22222221222222233, 0.13333337333333262, 0.1999999900000003, 0.22222221222222233], [0.2666666066666681, 0.20000003999999882, 0.13333337333333262, 0.1999999900000003, 0.1999999900000003]]"
"[0.22222221422222127, 0.2222222222222222, 0.22222222222222227, 0.1111111111111111, 0.22222223022222304]","[0.22222221422222127, 0.2222222222222222, 0.22222222222222227, 0.1111111111111111, 0.22222223022222304]","[0.22222221422222127, 0.22222221422222127, 0.11111112511111282, 0.11111110711111064, 0.22222219622221911]","[0.22222221422222127, 0.22222225022222564, 0.22222221422222127, 0.22222219622221911, 0.22222221422222127]","[0.2222222372222219, 0.22222221793650798, 0.22222221793650804, 0.11111111481240978, 0.22222221209235238]","[[0.2222222372222219, 0.22222221793650798, 0.22222221793650804, 0.11111111481240978, 0.22222221209235238], [0.22222222962481955, 0.22222222553391024, 0.22222221793650804, 0.11111111481240978, 0.22222221209235238]]",372,"[0.22222221793650804, 0.22222222962481955, 0.11111111481240978, 0.11111111481240978, 0.22222219631313156]","[0.22222222962481955, 0.22222222962481955, 0.22222221793650804, 0.22222219631313156, 0.22222222962481955]","[0.2222222372222219, 0.22222221793650804, 0.22222221793650804, 0.185185188042328, 0.22222221793650798]","[0.2222222222222222, 0.2222222222222222, 0.2222222222222222, 0.18518517518518463, 0.2222222222222222]","[0.2222222372222219, 0.22222221793650798, 0.22222221793650804, 0.11111111481240978, 0.22222221209235238]","[0.18518517518518463, 0.2222222222222222, 0.2222222222222222, 0.1111111111111111, 0.18518517518518463]","[0.185185188042328, 0.22222221793650798, 0.22222221793650798, 0.11111110896825402, 0.185185188042328]","[[0.2222222222222222, 0.2222222222222222, 0.22222222222222227, 0.1111111111111111, 0.2222222222222222], [0.22222221422222127, 0.2222222222222222, 0.22222222222222227, 0.1111111111111111, 0.22222223022222304]]"
