解の非唯一性考慮のPerfectIncorporation_wᵁ_2,entani論文のPerfectIncorporation_wᵁ,解の非唯一性考慮のPerfectIncorporation_wᵁ_1,entani論文のPerfectIncorporation_wᴸ,entani論文のPerfectIncorporation_wᵁ_2,解の非唯一性考慮のPerfectIncorporation_wᵁ,entani論文のPerfectIncorporation_wᵁ_1,Trial,解の非唯一性考慮のPerfectIncorporation_wᴸ,解の非唯一性考慮のPerfectIncorporation_wᴸ_1,entani論文のPerfectIncorporation_wᴸ_2,解の非唯一性考慮のPerfectIncorporation_wᴸ_2,entani論文のPerfectIncorporation_wᴸ_1
"[0.22222222411111114, 0.22222222411111114, 0.22222222411111114, 0.22222222411111114, 0.22222222411111114]","[0.22222221936508027, 0.22222222579365053, 0.22222221936507933, 0.22222222579365059, 0.22222222579365025]","[0.22222222411111114, 0.22222222411111114, 0.22222222411111114, 0.22222222411111114, 0.22222222411111114]","[0.22222221936508027, 0.11111110968254019, 0.11111111289682485, 0.1111111096825397, 0.22222222579365025]","[0.2222222193650796, 0.22222222579364895, 0.22222221936507933, 0.2222222257936506, 0.22222222579365022]","[0.22222222411111114, 0.22222222411111114, 0.22222222411111114, 0.22222222411111114, 0.22222222411111114]","[0.22222221936508, 0.2222222257936506, 0.22222221936507944, 0.2222222257936509, 0.22222222579365022]",239,"[0.22222222411111114, 0.11111111205555557, 0.11111111205555557, 0.11111111205555557, 0.22222222411111114]","[0.22222222411111114, 0.11111111205555557, 0.22222221561111108, 0.11111111205555557, 0.22222222411111114]","[0.22222221472222126, 0.11111110968254019, 0.11111111289682465, 0.11111110968253954, 0.22222222579365022]","[0.22222222411111114, 0.11111111205555557, 0.11111111205555557, 0.11111111205555557, 0.22222222411111114]","[0.22222221936508, 0.11111110968254019, 0.2222222129365085, 0.1111111096825397, 0.22222222579365022]"
"[0.2222222247088676, 0.2222222247088676, 0.2222222172489315, 0.2222222247088676, 0.2222222247088676]","[0.23076925326922962, 0.23076922076923123, 0.23076922076923123, 0.22222222378472223, 0.23076922076923123]","[0.23076925314903868, 0.23076922082264947, 0.23076922082264947, 0.21153847397168815, 0.23076922082264947]","[0.22222222378472217, 0.22222222378472223, 0.11111111329861113, 0.07692308442307653, 0.21153847403846096]","[0.22222222659722227, 0.22222222659722227, 0.22222221534722236, 0.22222222378472223, 0.22222222378472206]","[0.23076925314903868, 0.23076922082264947, 0.23076922082264947, 0.2222222247088676, 0.23076922082264947]","[0.23076925326922962, 0.23076922076923123, 0.23076922076923123, 0.21153847403846096, 0.23076922076923123]",240,"[0.2222222247088676, 0.2222222247088676, 0.1111111123544338, 0.07692308438301289, 0.21153847397168815]","[0.23076922082264947, 0.23076922082264947, 0.11538461041132474, 0.07692308438301289, 0.21153847397168815]","[0.22222222378472223, 0.22222222378472223, 0.11111111329861113, 0.11111110767361118, 0.22222221534722236]","[0.2222222247088676, 0.2222222247088676, 0.1111111123544338, 0.11111110862446574, 0.22222221351896349]","[0.23076922076923123, 0.23076922076923123, 0.11538461038461562, 0.07692308442307653, 0.21153847403846096]"
"[0.21212125267942394, 0.30303020163477346, 0.21212125267942394, 0.21212119691188266, 0.21212125267942394]","[0.24999999684210542, 0.33333323333334314, 0.2000000399999959, 0.1999998400000157, 0.24999999684210533]","[0.26315783389952674, 0.26315783389952674, 0.1578947774003155, 0.1578947774003155, 0.26315783389952674]","[0.2000000399999959, 0.20000003999999613, 0.12499999842105267, 0.06666664666666863, 0.16666667719298212]","[0.20000003999999613, 0.33333323333334314, 0.2000000399999959, 0.1999998400000157, 0.20000003999999613]","[0.26315783389952674, 0.30303020163477346, 0.21212125267942394, 0.21212119691188266, 0.26315783389952674]","[0.24999999684210542, 0.24999999684210533, 0.16666667719298217, 0.16666667719298212, 0.24999999684210533]",241,"[0.21212125267942394, 0.21212125267942394, 0.13157891694976337, 0.06060604032695469, 0.1578947774003155]","[0.26315783389952674, 0.26315783389952674, 0.13157891694976337, 0.07894738870015774, 0.1578947774003155]","[0.2000000399999959, 0.20000003999999613, 0.16666661666667157, 0.06666664666666863, 0.1999998400000157]","[0.21212125267942394, 0.21212125267942394, 0.15151510081738673, 0.06060604032695469, 0.21212119691188266]","[0.24999999684210542, 0.24999999684210533, 0.12499999842105267, 0.0833333322807018, 0.16666667719298212]"
"[0.29999998450000076, 0.19999999999999998, 0.2000000206666657, 0.19999999999999998, 0.19999999999999998]","[0.2999999850000005, 0.19999999999999996, 0.2666666566666668, 0.2, 0.19999999999999996]","[0.20000001550000046, 0.19999999999999998, 0.26666665633333303, 0.19999999999999998, 0.19999999999999998]","[0.19999999999999996, 0.19999999999999996, 0.19999999999999996, 0.09999999500000017, 0.19999999999999996]","[0.2999999850000005, 0.19999999999999996, 0.2000000199999994, 0.20000000000000007, 0.19999999999999996]","[0.29999998450000076, 0.19999999999999998, 0.26666665633333303, 0.19999999999999998, 0.19999999999999998]","[0.20000001499999992, 0.19999999999999996, 0.2666666566666668, 0.2, 0.19999999999999996]",242,"[0.19999999999999998, 0.19999999999999998, 0.19999999999999998, 0.09999999483333358, 0.19999999999999998]","[0.19999999999999998, 0.19999999999999998, 0.19999999999999998, 0.13333332816666651, 0.19999999999999998]","[0.19999999999999996, 0.19999999999999996, 0.19999999999999996, 0.09999999500000017, 0.19999999999999996]","[0.19999999999999998, 0.19999999999999998, 0.19999999999999998, 0.09999999483333358, 0.19999999999999998]","[0.19999999999999996, 0.19999999999999996, 0.19999999999999996, 0.1333333283333334, 0.19999999999999996]"
"[0.22222223208333358, 0.22222223208333358, 0.27777776052083125, 0.22222223208333358, 0.22222223208333358]","[0.22222222472222375, 0.22222221722222077, 0.22222222222222193, 0.22222222472222258, 0.2222222247222225]","[0.22222223208333358, 0.22222223208333358, 0.22222223208333358, 0.22222218770833252, 0.22222223208333358]","[0.22222222472222253, 0.22222221722222077, 0.11111110861111023, 0.11111111236111193, 0.1111111111111111]","[0.22222222472222392, 0.22222221722222085, 0.22222222222222193, 0.22222222472222253, 0.22222222472222247]","[0.22222223208333358, 0.22222223208333358, 0.27777776052083125, 0.22222223208333358, 0.22222223208333358]","[0.22222222472222386, 0.2222222172222208, 0.22222222472222208, 0.22222222472222253, 0.22222222472222186]",243,"[0.22222223208333358, 0.22222223208333358, 0.11111111604166679, 0.11111111604166679, 0.13888888026041563]","[0.22222223208333358, 0.22222223208333358, 0.11111111604166679, 0.11111111604166679, 0.22222218770833252]","[0.22222222472222228, 0.22222221722222085, 0.11111110861111043, 0.11111111111111108, 0.11111111111111174]","[0.22222223208333358, 0.22222223208333358, 0.11111111604166679, 0.13888888026041563, 0.13888888026041563]","[0.22222222472222253, 0.2222222172222208, 0.11111110861111023, 0.11111111236111193, 0.22222221347222065]"
"[0.2307692344711538, 0.2307692344711538, 0.23076921842948717, 0.23076921842948744, 0.2307692344711538]","[0.23076923826923101, 0.23076923826922965, 0.2307692057692318, 0.2307692057692318, 0.230769238269231]","[0.22222222419658125, 0.22222222419658125, 0.22222222419658116, 0.22222222419658116, 0.22222222419658125]","[0.22222222404040382, 0.22222222404040412, 0.07692307942307655, 0.07692307942307701, 0.22222222404040393]","[0.23076923826923101, 0.23076923826922965, 0.2307692057692318, 0.2307692057692318, 0.230769238269231]","[0.2307692344711538, 0.2307692344711538, 0.23076921842948717, 0.23076921842948744, 0.2307692344711538]","[0.22222222404040412, 0.22222222404040412, 0.22222222404040384, 0.22222222404040382, 0.22222222404040412]",244,"[0.22222222419658116, 0.22222222419658125, 0.07692307815705127, 0.07692307815705127, 0.22222222419658116]","[0.22222222419658116, 0.22222222419658125, 0.11111110321367516, 0.11111111209829058, 0.22222222419658116]","[0.23076920576923166, 0.23076923826922965, 0.07692307942307655, 0.07692307942307701, 0.2307692057692318]","[0.23076921842948717, 0.2307692344711538, 0.07692307815705127, 0.07692307815705127, 0.23076921842948744]","[0.22222222404040382, 0.22222222404040412, 0.11111110383838434, 0.11111111202020192, 0.22222222404040384]"
"[0.22222224170138954, 0.22222222222222224, 0.22222221248263854, 0.22222221248263854, 0.22222221248263854]","[0.2222222222222111, 0.22222222222222704, 0.2222222222222232, 0.22222221722222857, 0.22222222222222698]","[0.2222222231871345, 0.2222222231871345, 0.2222222231871345, 0.16666667173245614, 0.22222221884502924]","[0.2222222222222111, 0.11111111111110578, 0.11111111111111416, 0.1111111111111118, 0.1666666716666341]","[0.22222222222221077, 0.22222222222222676, 0.2222222222222232, 0.22222221722222857, 0.22222222722223162]","[0.22222224170138954, 0.22222222222222224, 0.22222221248263854, 0.22222221248263854, 0.22222221248263854]","[0.22222222222221114, 0.22222222222222696, 0.2222222222222232, 0.16666667166666863, 0.2222222222222269]",245,"[0.22222221248263854, 0.11111112085069477, 0.11111111111111112, 0.11111110624131927, 0.16666667173245614]","[0.22222221884502924, 0.22222221884502924, 0.22222221884502924, 0.11111111159356725, 0.16666667173245614]","[0.2222222172222288, 0.11111111111110578, 0.11111111111111305, 0.11111111111111169, 0.2222222172222286]","[0.22222221248263854, 0.11111112085069477, 0.11111111111111112, 0.11111110624131927, 0.22222221248263854]","[0.22222222222221114, 0.22222221222221714, 0.2222222222222232, 0.1111111111111118, 0.1666666716666341]"
"[0.23529411219771218, 0.23529413072549077, 0.23529411219771218, 0.14705883170343192, 0.23529411219771218]","[0.2352941120915034, 0.2666666466666662, 0.2352941120915034, 0.20000001000000028, 0.23529411209150325]","[0.2000000196176468, 0.29999998038235326, 0.2000000196176468, 0.2000000196176468, 0.2000000196176468]","[0.20000001000000028, 0.20000001000000017, 0.1333333233333331, 0.05882353274509798, 0.1470588318627449]","[0.2352941120915034, 0.23529413098039192, 0.2352941120915034, 0.14705883186274488, 0.23529411209150325]","[0.23529411219771218, 0.29999998038235326, 0.23529411219771218, 0.2000000196176468, 0.23529411219771218]","[0.20000001000000028, 0.2666666466666662, 0.20000001000000028, 0.20000001000000028, 0.20000001000000017]",246,"[0.2000000196176468, 0.2000000196176468, 0.14999999019117663, 0.05882353268137269, 0.14705883170343192]","[0.2000000196176468, 0.2000000196176468, 0.14999999019117663, 0.14999999019117663, 0.2000000196176468]","[0.2352941120915034, 0.2352941120915034, 0.2352941120915034, 0.05882353274509798, 0.14705883186274488]","[0.23529411219771218, 0.23529411219771218, 0.23529411219771218, 0.05882353268137269, 0.14705883170343192]","[0.20000001000000028, 0.20000001000000017, 0.1333333233333331, 0.13333332333333303, 0.20000001000000017]"
"[0.2307692521874997, 0.23076922125000016, 0.23076922125000016, 0.21153847343749982, 0.23076922125000016]","[0.23076925326922967, 0.23076922076923134, 0.23076922076923123, 0.2222221988888901, 0.23076922076923134]","[0.2307692521874997, 0.23076922125000016, 0.23076922125000016, 0.23076921490384672, 0.23076922125000016]","[0.2222222288888885, 0.11111111444444426, 0.11111111444444426, 0.07692308442307656, 0.21153847403846063]","[0.23076925326922967, 0.23076922076923134, 0.230769220769231, 0.21153847403846063, 0.23076922076923134]","[0.2307692521874997, 0.23076922125000016, 0.23076922125000016, 0.23076921490384672, 0.23076922125000016]","[0.2222222288888885, 0.2222222288888885, 0.2222222288888885, 0.2222221988888901, 0.2222222288888885]",247,"[0.23076922125000016, 0.11538462609374985, 0.11538461062500008, 0.07692308406249991, 0.21153847343749982]","[0.23076922125000016, 0.11538462609374985, 0.11538461062500008, 0.11538461062500008, 0.23076921490384672]","[0.2307692207692311, 0.23076922076923134, 0.11538461038461567, 0.07692308442307656, 0.21153847403846063]","[0.23076922125000016, 0.23076922125000016, 0.11538461062500008, 0.07692308406249991, 0.21153847343749982]","[0.2222222288888885, 0.11111111444444426, 0.11111111444444426, 0.11111111444444426, 0.2222221988888901]"
"[0.22222230908258822, 0.2666665475438788, 0.2222221974049748, 0.2222221974049748, 0.22222230908258822]","[0.24999998000000018, 0.26666654666666945, 0.22222219722222308, 0.22222219722222278, 0.24999998000000018]","[0.26315783517544583, 0.26315783517544583, 0.1578947765497028, 0.1578947765497028, 0.26315783517544583]","[0.22222219722222308, 0.22222230972222, 0.06666663666666736, 0.08333335333333314, 0.16666670666666614]","[0.22222230972222026, 0.26666654666666945, 0.22222219722222308, 0.22222219722222278, 0.22222230972222]","[0.26315783517544583, 0.2666665475438788, 0.2222221974049748, 0.2222221974049748, 0.26315783517544583]","[0.24999998000000018, 0.24999998000000018, 0.16666670666666633, 0.16666670666666614, 0.24999998000000018]",248,"[0.2222221974049748, 0.22222230908258822, 0.0666666368859697, 0.0789473882748514, 0.1578947765497028]","[0.26315783517544583, 0.26315783517544583, 0.13157891758772292, 0.0789473882748514, 0.1578947765497028]","[0.22222219722222308, 0.22222230972222, 0.06666663666666736, 0.11111109861111151, 0.22222219722222278]","[0.2222221974049748, 0.22222230908258822, 0.0666666368859697, 0.1111110987024874, 0.2222221974049748]","[0.24999998000000012, 0.24999998000000018, 0.12499999000000009, 0.08333335333333314, 0.16666670666666614]"
"[0.16666670799999833, 0.33333329200000167, 0.33333329200000167, 0.16666670799999833, 0.16666670799999833]","[0.19999999571428573, 0.26666667047619047, 0.22222222539682468, 0.20000000285714287, 0.19999999571428573]","[0.20000001033333303, 0.3000000154999996, 0.19999998450000042, 0.19999998450000042, 0.20000001033333303]","[0.19999999571428573, 0.19999999571428573, 0.13333333523809524, 0.11111111269841234, 0.11111111269841234]","[0.19999999571428573, 0.26666667047619047, 0.22222222539682468, 0.20000000285714287, 0.19999999571428573]","[0.20000001033333303, 0.33333329200000167, 0.33333329200000167, 0.19999998450000042, 0.20000001033333303]","[0.20000000285714287, 0.2666666704761904, 0.20000000285714287, 0.20000000285714287, 0.19999999571428573]",249,"[0.16666670799999833, 0.16666670799999833, 0.1500000077499998, 0.1500000077499998, 0.16666664600000083]","[0.19999998450000042, 0.20000001033333303, 0.1500000077499998, 0.1500000077499998, 0.19999998450000042]","[0.19999999571428573, 0.19999999571428573, 0.13333333523809524, 0.11111111269841234, 0.11111111269841234]","[0.16666670799999833, 0.16666670799999833, 0.16666664600000083, 0.16666664600000083, 0.16666664600000083]","[0.20000000285714287, 0.19999999571428573, 0.1333333352380952, 0.1333333352380952, 0.19999999571428573]"
"[0.2711864104237293, 0.2711864104237293, 0.15254239305084713, 0.15254239305084713, 0.2711864104237293]","[0.26315788473684165, 0.26315788473684165, 0.22222221422222221, 0.22222221422222224, 0.26315788473684165]","[0.22222221886064053, 0.2222222491148758, 0.22222221886064053, 0.22222221886064053, 0.22222221886064053]","[0.22222221422222224, 0.22222221422222224, 0.11111112511111107, 0.05263158644736878, 0.1578947593421064]","[0.26315788473684165, 0.26315788473684165, 0.15789475934210634, 0.1578947593421064, 0.26315788473684165]","[0.2711864104237293, 0.2711864104237293, 0.22222221886064053, 0.22222221886064053, 0.2711864104237293]","[0.22222221422222224, 0.22222225022222214, 0.22222221422222221, 0.22222221422222224, 0.22222221422222224]",250,"[0.22222221886064053, 0.22222221886064053, 0.1111111245574379, 0.050847464350282374, 0.15254239305084713]","[0.22222221886064053, 0.22222221886064053, 0.1111111245574379, 0.11111110943032027, 0.22222221886064053]","[0.26315788473684165, 0.26315788473684165, 0.13157894236842083, 0.05263158644736878, 0.1578947593421064]","[0.2711864104237293, 0.2711864104237293, 0.13559320521186466, 0.050847464350282374, 0.15254239305084713]","[0.22222221422222224, 0.22222221422222224, 0.11111112511111107, 0.11111110711111111, 0.22222221422222221]"
"[0.22222221222222197, 0.22222223793650828, 0.22222222507936512, 0.22222222507936512, 0.22222221222222197]","[0.22222222222221977, 0.26666666666667205, 0.22222222222222276, 0.22222222222222046, 0.22222222222221977]","[0.22222221222222197, 0.2666666803809528, 0.22222222507936512, 0.22222222507936512, 0.22222221222222197]","[0.22222222222221977, 0.22222222222221974, 0.0666666666666681, 0.11111111111111135, 0.22222222222221977]","[0.22222222222221966, 0.22222224222223197, 0.22222222222222288, 0.22222219222221262, 0.22222222222221977]","[0.22222221222222197, 0.2666666803809528, 0.22222222507936512, 0.22222222507936512, 0.22222221222222197]","[0.22222222222221968, 0.26666666666667205, 0.22222222222222268, 0.22222222222222043, 0.2222222222222199]",251,"[0.22222221222222197, 0.22222221222222197, 0.0666666700952382, 0.11111111253968256, 0.22222221222222197]","[0.22222221222222197, 0.22222221222222197, 0.0666666700952382, 0.11111111253968256, 0.22222221222222197]","[0.22222222222221966, 0.22222222222221974, 0.11111112111111583, 0.11111111111111138, 0.22222219222221185]","[0.22222221222222197, 0.22222221222222197, 0.1111111125396827, 0.11111110611111098, 0.22222221222222197]","[0.22222222222221968, 0.22222222222221974, 0.0666666666666681, 0.11111111111111135, 0.2222222222222199]"
"[0.22222222486772475, 0.22222222486772503, 0.22222222486772475, 0.22222221891534408, 0.22222221891534408]","[0.2222222224722224, 0.22222222472222153, 0.22222222247222229, 0.22222221909722226, 0.22222221909722262]","[0.22222222486772475, 0.22222221891534408, 0.22222222486772475, 0.18518519113756543, 0.22222221891534408]","[0.2222222190972227, 0.1851851903101854, 0.11111111236111082, 0.11111111123611125, 0.11111111423611038]","[0.22222222472222217, 0.2222222247222217, 0.222222228472222, 0.22222221909722228, 0.22222221909722267]","[0.22222222486772475, 0.22222222486772503, 0.22222222486772475, 0.22222221891534408, 0.22222221891534408]","[0.22222222247222254, 0.2222222247222214, 0.22222222247222206, 0.18518519031018557, 0.22222221909722265]",252,"[0.22222221891534408, 0.18518519113756543, 0.11111111243386251, 0.11111111243386237, 0.11111111243386237]","[0.22222221891534408, 0.18518519113756543, 0.22222221891534408, 0.11111111243386237, 0.18518517989418098]","[0.22222221909722262, 0.2222222190972222, 0.11111111236111106, 0.22222221909722228, 0.1111111142361111]","[0.22222221891534408, 0.22222221891534408, 0.11111111243386251, 0.22222221891534408, 0.11111111243386237]","[0.2222222190972227, 0.1851851903101854, 0.22222222247222206, 0.11111111123611125, 0.1851851755601847]"
"[0.22000005244166526, 0.2399999550500012, 0.2399999550500012, 0.2199999900111114, 0.22000005244166526]","[0.22222223222222265, 0.23999995500000013, 0.23999995500000015, 0.22222218722222076, 0.22222223222222265]","[0.2222222122333338, 0.22222224219999914, 0.2222222122333338, 0.2222222122333338, 0.2222222122333338]","[0.21999999, 0.22000005249999977, 0.11111111611111132, 0.07999998500000005, 0.21999999]","[0.22000005249999977, 0.23999995500000013, 0.23999995500000015, 0.21999999, 0.22000005249999977]","[0.2222222122333338, 0.2399999550500012, 0.2399999550500012, 0.2222222122333338, 0.2222222122333338]","[0.22222223222222265, 0.22222223222222265, 0.22222218722222076, 0.22222218722222076, 0.22222223222222265]",253,"[0.2199999900111114, 0.22000005244166526, 0.1111111061166669, 0.07999998501666708, 0.2199999900111114]","[0.2222222122333338, 0.2222222122333338, 0.1111111061166669, 0.11111112109999957, 0.2222222122333338]","[0.21999999, 0.22000005249999977, 0.1199999775000001, 0.07999998500000005, 0.21999999]","[0.2199999900111114, 0.22000005244166526, 0.1199999775250006, 0.07999998501666708, 0.2199999900111114]","[0.22222218722222076, 0.22222223222222265, 0.11111111611111132, 0.11111111611111132, 0.22222218722222076]"
"[0.22222223288790233, 0.24999997600221976, 0.22222221917488505, 0.22222223288790233, 0.22222223288790233]","[0.23076922076923145, 0.2499999757692297, 0.23076922076923134, 0.22222223299145347, 0.23076922076923134]","[0.23076922086538504, 0.23076926378204993, 0.23076922086538504, 0.21153846318910247, 0.23076922086538504]","[0.22222221914529902, 0.22222223299145347, 0.0833333252564099, 0.07692307358974382, 0.21153846320512815]","[0.22222223299145344, 0.2499999757692297, 0.22222221914529902, 0.22222223299145347, 0.22222223299145347]","[0.23076922086538504, 0.24999997600221976, 0.23076922086538504, 0.22222223288790233, 0.23076922086538504]","[0.23076922076923145, 0.23076926410256207, 0.23076922076923134, 0.21153846320512815, 0.23076922076923134]",254,"[0.22222221917488505, 0.22222223288790233, 0.08333332533407325, 0.07692307362179501, 0.21153846318910247]","[0.23076922086538504, 0.23076922086538504, 0.11538463189102496, 0.07692307362179501, 0.21153846318910247]","[0.22222221914529902, 0.22222223299145347, 0.0833333252564099, 0.11111110957264951, 0.222222219145299]","[0.22222221917488505, 0.22222223288790233, 0.08333332533407325, 0.11111110958744252, 0.22222221917488505]","[0.23076922076923134, 0.23076922076923134, 0.11538463205128102, 0.07692307358974382, 0.21153846320512815]"
"[0.22222224358333303, 0.3030302797272731, 0.22222224358333303, 0.22222224358333303, 0.22222224358333303]","[0.25000000857142857, 0.25000000857142873, 0.2499999742857137, 0.20833331190476262, 0.24999997428571394]","[0.2499999912240189, 0.2500000263279434, 0.2499999912240191, 0.12499999561200945, 0.2499999912240189]","[0.20833333761904724, 0.12500000428571428, 0.12500000428571428, 0.08333333619047624, 0.12500000428571437]","[0.25000000857142857, 0.25000000857142857, 0.20833333761904724, 0.20833331190476262, 0.20833333761904724]","[0.2499999912240189, 0.3030302797272731, 0.2499999912240191, 0.22222224358333303, 0.2499999912240189]","[0.25000000857142873, 0.25000000857142873, 0.2499999742857137, 0.12500000428571437, 0.24999997428571394]",255,"[0.22222224358333303, 0.11111112179166652, 0.1250000131639717, 0.08333333040800629, 0.12499999561200945]","[0.2499999912240189, 0.2499999912240189, 0.1250000131639717, 0.08333333040800629, 0.12499999561200945]","[0.20833333761904724, 0.12500000428571428, 0.12500000428571428, 0.08333333619047618, 0.20833331190476262]","[0.22222224358333303, 0.11111112179166652, 0.15151513986363654, 0.10101009324242437, 0.22222224358333303]","[0.2499999742857137, 0.24999997428571394, 0.12500000428571428, 0.08333333619047624, 0.12500000428571437]"
"[0.26315788508771926, 0.26315788508771926, 0.1578948043859651, 0.1578948043859651, 0.26315788508771926]","[0.29166665416666654, 0.24999997999999996, 0.18750000125000005, 0.1875000012499996, 0.24999998000000012]","[0.26315788508771926, 0.2982455802631553, 0.20175439078947371, 0.20175439078947371, 0.20175439078947371]","[0.18750000125000005, 0.14583332708333327, 0.12499998999999998, 0.08333335333333335, 0.16666670666666633]","[0.24999997999999996, 0.24999997999999996, 0.1666667066666667, 0.1666667066666665, 0.24999998000000012]","[0.26315788508771926, 0.2982455802631553, 0.20175439078947371, 0.20175439078947371, 0.26315788508771926]","[0.29166665416666654, 0.24999997999999996, 0.18750000125000005, 0.1875000012499996, 0.1875000162500004]",256,"[0.20175439078947371, 0.13157894254385963, 0.13157894254385963, 0.07894740219298255, 0.1578948043859651]","[0.20175439078947371, 0.13157894254385963, 0.14912279013157764, 0.14912279013157764, 0.20175439078947371]","[0.24999997999999996, 0.24999997999999996, 0.12499998999999998, 0.08333335333333335, 0.1666667066666665]","[0.26315788508771926, 0.26315788508771926, 0.13157894254385963, 0.07894740219298255, 0.1578948043859651]","[0.18750000125000005, 0.14583332708333327, 0.12499998999999998, 0.12499998999999995, 0.1875000012499996]"
"[0.22222222222222232, 0.2222222222222222, 0.22222222222222202, 0.2222222222222222, 0.2222222222222222]","[0.22222222222222188, 0.22222222222222276, 0.222222217222222, 0.2222222222222223, 0.22222222222222218]","[0.22222222222222232, 0.2222222222222222, 0.22222222222222202, 0.22222222222222232, 0.2222222222222222]","[0.22222222222222188, 0.22222222222222276, 0.11111111111111116, 0.11111111111111102, 0.22222222222222188]","[0.2222222347222216, 0.22222222222222413, 0.22222221722222144, 0.22222222222222235, 0.22222221722222243]","[0.22222222222222232, 0.2222222222222222, 0.22222222222222202, 0.22222222222222232, 0.2222222222222222]","[0.22222222222222202, 0.22222222222222274, 0.22222222222222213, 0.2222222222222218, 0.22222222222222213]",257,"[0.2222222222222222, 0.2222222222222222, 0.1111111111111111, 0.11111111111111101, 0.2222222222222222]","[0.2222222222222222, 0.2222222222222222, 0.1111111111111111, 0.11111111111111101, 0.2222222222222222]","[0.22222222222222196, 0.22222222222222288, 0.11111111111111187, 0.11111110861111143, 0.2222222172222216]","[0.2222222222222222, 0.2222222222222222, 0.1111111111111111, 0.11111111111111101, 0.2222222222222222]","[0.22222222222222202, 0.22222222222222274, 0.11111111111111116, 0.11111111111111102, 0.22222222222222188]"
"[0.23076922067307729, 0.23076926442307583, 0.23076922067307729, 0.21153846322115377, 0.23076922067307729]","[0.23076922076923126, 0.3199999399999967, 0.23076922076923126, 0.19999989999999432, 0.23076922076923126]","[0.21428573952609803, 0.2857142251373647, 0.21428573952609803, 0.21428570418956072, 0.21428573952609803]","[0.2000000250000014, 0.2000000250000014, 0.11538463205128127, 0.07692307358974378, 0.19999989999999432]","[0.2307692207692312, 0.23076926410256254, 0.23076922076923126, 0.19999989999999432, 0.2307692207692312]","[0.23076922067307729, 0.2857142251373647, 0.23076922067307729, 0.21428570418956072, 0.23076922067307729]","[0.2000000250000014, 0.3199999399999967, 0.2000000250000014, 0.19999989999999432, 0.2000000250000014]",258,"[0.21428573952609803, 0.21428573952609803, 0.11538463221153791, 0.07142855628434118, 0.21153846322115377]","[0.21428573952609803, 0.21428573952609803, 0.14285711256868236, 0.07142855628434118, 0.21428570418956072]","[0.2307692207692312, 0.2307692207692312, 0.11538463205128127, 0.07692307358974373, 0.19999989999999432]","[0.23076922067307729, 0.23076922067307729, 0.11538463221153791, 0.07692307355769243, 0.21153846322115377]","[0.2000000250000014, 0.2000000250000014, 0.15999996999999835, 0.07999998499999918, 0.19999989999999432]"
"[0.2999998665577043, 0.200000059307687, 0.200000059307687, 0.199999960461542, 0.200000059307687]","[0.29999998500000047, 0.29999998999999994, 0.19999999999999996, 0.19999999999999996, 0.19999999999999996]","[0.23076919123077214, 0.23076931973076276, 0.23076919123077214, 0.23076919123077214, 0.23076919123077214]","[0.19999999999999996, 0.2, 0.09999999666666665, 0.09999999500000015, 0.19999999999999996]","[0.29999998500000047, 0.2000000199999994, 0.19999999999999996, 0.2, 0.20000000000000007]","[0.2999998665577043, 0.23076931973076276, 0.23076919123077214, 0.23076919123077214, 0.23076919123077214]","[0.2000000133333335, 0.29999998999999994, 0.19999999999999996, 0.19999999999999996, 0.19999999999999996]",259,"[0.200000059307687, 0.199999960461542, 0.07692310657692092, 0.07692310657692092, 0.199999960461542]","[0.23076919123077214, 0.23076919123077214, 0.07692310657692092, 0.07692310657692092, 0.23076919123077214]","[0.19999999999999996, 0.2, 0.19999999999999996, 0.09999999500000016, 0.20000000000000007]","[0.200000059307687, 0.199999960461542, 0.200000059307687, 0.09999995551923475, 0.199999960461542]","[0.19999999999999996, 0.19999999999999996, 0.09999999666666665, 0.09999999666666665, 0.19999999999999996]"
"[0.31578934976372713, 0.2105263312795341, 0.2105263312795341, 0.2105263312795341, 0.2105263312795341]","[0.29999998799999983, 0.23529404264705361, 0.2352942976470714, 0.19999999199999993, 0.23529404264705361]","[0.2352940421826621, 0.2352940421826621, 0.23529429876161093, 0.1764706385448919, 0.2352940421826621]","[0.20000001200000012, 0.1764706382352976, 0.14999999399999991, 0.05882357441176785, 0.1764706382352976]","[0.29999998799999983, 0.20000001200000012, 0.19999999199999993, 0.19999999199999993, 0.20000001200000012]","[0.31578934976372713, 0.2352940421826621, 0.23529429876161093, 0.2105263312795341, 0.2352940421826621]","[0.2352940426470536, 0.23529404264705361, 0.2352942976470714, 0.1764706382352976, 0.23529404264705361]",260,"[0.2105263312795341, 0.1764706385448919, 0.15789467488186357, 0.05882357469040273, 0.1764706385448919]","[0.2352940421826621, 0.1764706385448919, 0.2352940421826621, 0.05882357469040273, 0.1764706385448919]","[0.20000001200000012, 0.19999999199999993, 0.14999999399999991, 0.09999999599999994, 0.19999999199999993]","[0.2105263312795341, 0.2105263312795341, 0.15789467488186357, 0.10526311658790906, 0.2105263312795341]","[0.2352940426470536, 0.1764706382352976, 0.23529404264705361, 0.05882357441176785, 0.1764706382352976]"
