entani論文のCommonGround_wᴸ,解の非唯一性考慮のCommonGround_wᵁ_2,entani論文のCommonGround_wᴸ_2,Trial,解の非唯一性考慮のCommonGround_wᵁ,解の非唯一性考慮のCommonGround_wᴸ_2,解の非唯一性考慮のCommonGround_wᴸ_1,entani論文のCommonGround_wᵁ,entani論文のCommonGround_wᴸ_1,entani論文のCommonGround_wᵁ_1,解の非唯一性考慮のCommonGround_wᵁ_1,解の非唯一性考慮のCommonGround_wᴸ,entani論文のCommonGround_wᵁ_2
E,r,E,260,r,E,E,r,E,r,r,E,r
E,r,E,261,r,E,E,r,E,r,r,E,r
E,r,E,262,r,E,E,r,E,r,r,E,r
E,r,E,263,r,E,E,r,E,r,r,E,r
E,r,E,264,r,E,E,r,E,r,r,E,r
"[0.2222222097222221, 0.22222223222222232, 0.11111111611111116, 0.11111104861111035, 0.2222222097222221]","[0.22222222522222232, 0.22222223422222245, 0.22222222522222232, 0.2222222207222222, 0.2222222207222222]","[0.2222222097222221, 0.22222223222222232, 0.11111111611111116, 0.11111104861111035, 0.2222222097222221]",265,"[0.22222222522222232, 0.22222223422222245, 0.22222222522222232, 0.2222222207222222, 0.2222222207222222]","[0.22222222522222232, 0.2222222207222222, 0.11111110811111098, 0.11111111261111116, 0.2222222207222222]","[0.2222222207222222, 0.2222222207222222, 0.11111111711111123, 0.11111111261111116, 0.2222222207222222]","[0.2222222097222221, 0.22222223222222232, 0.2222222097222221, 0.2222222097222221, 0.2222222097222221]","[0.2222222097222221, 0.2222222097222221, 0.11111111611111116, 0.11111111611111116, 0.2222222097222221]","[0.22222223222222232, 0.22222223222222232, 0.2222222097222221, 0.2222222097222221, 0.2222222097222221]","[0.22222222522222232, 0.22222223422222245, 0.22222222522222232, 0.2222222207222222, 0.2222222207222222]","[0.22222222522222232, 0.2222222207222222, 0.11111110811111098, 0.11111111261111116, 0.2222222207222222]","[0.2222222097222221, 0.22222223222222232, 0.2222222097222221, 0.2222222097222221, 0.2222222097222221]"
E,r,E,266,r,E,E,r,E,r,r,E,r
"[0.2222222022222215, 0.22222221722222185, 0.11111111611111132, 0.11111111611111132, 0.2222222022222215]",r,"[0.2222222022222215, 0.22222221722222185, 0.11111111611111132, 0.11111111611111132, 0.2222222022222215]",267,r,E,E,"[0.22222223222222265, 0.22222223222222265, 0.2222222022222215, 0.2222222022222215, 0.22222221722222185]","[0.2222222022222215, 0.22222221722222185, 0.11111111611111132, 0.11111111611111134, 0.11111111111111104]","[0.22222223222222268, 0.22222223222222265, 0.2222222022222215, 0.22222222222222207, 0.22222221722222185]",r,E,"[0.22222223222222265, 0.22222223222222265, 0.2222222022222215, 0.2222222022222215, 0.22222221722222185]"
E,r,E,268,r,E,E,r,E,r,r,E,r
E,r,E,269,r,E,E,r,E,r,r,E,r
"[0.22222221771402495, 0.22222221771402495, 0.22222221427140276, 0.11111111217668501, 0.22222221771402495]","[0.22222222793650803, 0.22222222793650803, 0.22222222793650803, 0.2222222215079365, 0.2222222215079365]","[0.22222221771402495, 0.22222221771402495, 0.11111111340619334, 0.11111111217668501, 0.22222221771402495]",270,"[0.22222222793650803, 0.22222222793650803, 0.22222222793650803, 0.2222222215079365, 0.2222222215079365]","[0.2222222215079365, 0.2222222215079365, 0.11111111396825402, 0.11111111396825402, 0.2222222215079365]","[0.2222222215079365, 0.11111111396825402, 0.2222222215079365, 0.11111111396825402, 0.2222222215079365]","[0.22222222435337002, 0.22222222140255, 0.22222222435337002, 0.11111113258652239, 0.22222221771402495]","[0.22222221771402495, 0.11111111438980004, 0.22222221427140276, 0.111111110701275, 0.22222221771402495]","[0.22222222877960007, 0.22222222140255, 0.22222222140255, 0.22222221771402495, 0.22222221771402495]","[0.22222222793650803, 0.22222222793650803, 0.22222222793650803, 0.2222222215079365, 0.2222222215079365]","[0.2222222215079365, 0.2222222215079365, 0.2222222215079365, 0.22222220222222197, 0.2222222215079365]","[0.22222222435337002, 0.22222222681238668, 0.22222222435337002, 0.22222221771402495, 0.22222221771402495]"
E,r,E,271,r,E,E,r,E,r,r,E,r
"[0.22222221853801197, 0.22222221853801197, 0.22222221853801197, 0.11111111163742686, 0.16666666508771938]","[0.2222222243274854, 0.2222222243274854, 0.2222222243274854, 0.16666666824561407, 0.2222222243274854]","[0.22222221853801197, 0.22222221853801197, 0.22222221853801197, 0.11111111163742686, 0.16666666508771938]",272,"[0.2222222243274854, 0.2222222243274854, 0.2222222243274854, 0.12500004442583634, 0.2222222243274854]","[0.2222222243274854, 0.2222222243274854, 0.222222214853801, 0.1111111121637427, 0.16666666824561407]","[0.2222222243274854, 0.2222222243274854, 0.1388888862573099, 0.055555554502923966, 0.2083333015390758]","[0.22222222327485372, 0.22222222327485372, 0.22222222327485372, 0.16666666508771938, 0.22222221853801197]","[0.2222222147222221, 0.22222221853801197, 0.13888888954678358, 0.05555555581871343, 0.16666666508771938]","[0.22222222327485372, 0.27777777909356716, 0.22222222327485372, 0.16666666508771938, 0.22222221853801197]","[0.2222222243274854, 0.2777777725146198, 0.2222222243274854, 0.2083333015390758, 0.2222222243274854]","[0.2222222243274854, 0.2222222243274854, 0.222222214853801, 0.1111111121637427, 0.2083333015390758]","[0.22222222327485372, 0.22222222327485372, 0.22222222327485372, 0.16666666508771938, 0.22222221853801197]"
"[0.2, 0.2, 0.1499999200000049, 0.2, 0.2]",r,"[0.2, 0.2, 0.09999999500000062, 0.2, 0.2]",273,r,E,E,"[0.20000001999999756, 0.25000005999999764, 0.2, 0.2, 0.2]","[0.2, 0.13333333333333336, 0.12500002999999882, 0.08333335333333254, 0.2]","[0.2666666666666667, 0.25000005999999764, 0.2, 0.2, 0.2]",r,E,"[0.20000001999999756, 0.29999998500000186, 0.2, 0.2, 0.2]"
"[0.2222222222222222, 0.2222222222222222, 0.22222221222222305, 0.1111111111111111, 0.22222221222222227]","[0.2222222243274854, 0.2222222243274854, 0.2222222243274854, 0.16666666824561405, 0.2222222243274854]","[0.2222222222222222, 0.2222222222222222, 0.22222221222222305, 0.1111111111111111, 0.16666666666666669]",274,"[0.2222222243274854, 0.2222222243274854, 0.2222222243274854, 0.16666666824561405, 0.2222222243274854]","[0.2222222243274854, 0.2222222243274854, 0.22222221485380117, 0.1111111121637427, 0.16666666824561405]","[0.22222221254314625, 0.2222222243274854, 0.08333333175438595, 0.1111111121637427, 0.2222222243274854]","[0.2222222222222222, 0.2222222222222222, 0.2222222222222222, 0.11111113111111026, 0.2222222222222222]","[0.2222222222222222, 0.2222222222222222, 0.08333333333333334, 0.1111111111111111, 0.22222221222222227]","[0.2222222222222222, 0.25, 0.2222222222222222, 0.2222222222222222, 0.2222222222222222]","[0.2222222243274854, 0.24999999526315786, 0.2222222243274854, 0.2222222243274854, 0.2222222243274854]","[0.22222221254314625, 0.2222222243274854, 0.22222221485380117, 0.16666664698759084, 0.2222222243274854]","[0.2222222222222222, 0.2222222222222222, 0.2222222222222222, 0.16666666666666669, 0.2222222222222222]"
E,r,E,275,r,E,E,r,E,r,r,E,r
E,r,E,276,r,E,E,r,E,r,r,E,r
E,r,E,277,r,E,E,r,E,r,r,E,r
"[0.2222222122222222, 0.11111112111111125, 0.2222222122222222, 0.11111111111111105, 0.2222222122222222]",r,"[0.22222219222222134, 0.11111112111111125, 0.11111110111111083, 0.11111111111111105, 0.2222222122222222]",278,r,E,E,"[0.2222222422222225, 0.2222222222222221, 0.2222222122222222, 0.2222222122222222, 0.2222222122222222]","[0.2222222122222222, 0.11111112111111125, 0.2222222122222222, 0.11111111111111105, 0.2222222122222222]","[0.2222222422222225, 0.2222222222222221, 0.2222222122222222, 0.2222222122222222, 0.2222222122222222]",r,E,"[0.2222222422222225, 0.22222220222222167, 0.22222223222222265, 0.22222219222222134, 0.2222222122222222]"
"[0.22222222507936523, 0.22222221365079248, 0.11111111253968262, 0.11111110825396807, 0.2222222122222217]","[0.22222222322222224, 0.22222224222222253, 0.22222222322222224, 0.22222222172222222, 0.22222222322222224]","[0.22222222507936523, 0.22222221365079248, 0.11111111253968262, 0.11111110825396807, 0.2222222122222217]",279,"[0.22222222322222224, 0.22222224222222253, 0.22222222322222224, 0.22222222172222222, 0.22222222322222224]","[0.22222222322222224, 0.2222222202222222, 0.11111112111111127, 0.11111111161111112, 0.22222222172222222]","[0.22222222322222224, 0.22222222172222222, 0.11111111161111112, 0.08333332783333325, 0.22222222172222222]","[0.22222222507936523, 0.22222222507936523, 0.22222221650793614, 0.2222222122222217, 0.22222222507936523]","[0.22222222507936523, 0.2222222122222217, 0.11111111253968262, 0.08333333119047606, 0.2222222122222217]","[0.22222222507936523, 0.22222222507936523, 0.2499999935714282, 0.2222222122222217, 0.22222222507936523]","[0.22222222322222224, 0.22222224222222253, 0.24999998349999977, 0.22222222172222222, 0.22222222322222224]","[0.22222222322222224, 0.2222222202222222, 0.11111112111111127, 0.11111111161111112, 0.22222222172222222]","[0.22222222507936523, 0.22222222507936523, 0.22222221650793614, 0.2222222122222217, 0.22222222507936523]"
"[0.2222222222222222, 0.22222221222222335, 0.2222222222222222, 0.1111111111111111, 0.22222219222221995]","[0.22222222422222224, 0.22222222422222224, 0.22222222422222224, 0.22222222422222224, 0.22222222422222224]","[0.2222222222222222, 0.22222221222222335, 0.2222222222222222, 0.1111111111111111, 0.11111111111111112]",280,"[0.22222222422222224, 0.22222222422222224, 0.22222222422222224, 0.22222219722222228, 0.22222222422222224]","[0.22222222422222224, 0.2222222152222221, 0.22222222422222224, 0.11111111211111112, 0.11111111211111112]","[0.22222222422222224, 0.11111111811111106, 0.22222222422222224, 0.11111111211111112, 0.22222219722222228]","[0.2222222222222222, 0.2222222222222222, 0.2222222222222222, 0.11111115111111228, 0.2222222222222222]","[0.2222222222222222, 0.11111112111111188, 0.2222222222222222, 0.1111111111111111, 0.22222219222221995]","[0.22222224222222375, 0.2222222222222222, 0.2222222222222222, 0.22222219222221995, 0.2222222222222222]","[0.22222223622222212, 0.22222222422222224, 0.22222222422222224, 0.22222219722222228, 0.22222222422222224]","[0.22222222422222224, 0.2222222152222221, 0.22222222422222224, 0.22222216122222205, 0.22222219722222228]","[0.2222222222222222, 0.22222222222222224, 0.2222222222222222, 0.2222222222222222, 0.2222222222222222]"
E,r,E,281,r,E,E,r,E,r,r,E,r
"[0.22222221422222133, 0.22222221422222138, 0.11111112511111265, 0.11111110711111066, 0.22222219622221917]","[0.2222222255555556, 0.2222222255555556, 0.2222222255555556, 0.2222222255555556, 0.22222221805555553]","[0.22222221422222133, 0.22222221422222138, 0.11111112511111265, 0.11111110711111066, 0.22222219622221917]",282,"[0.2222222255555556, 0.2222222255555556, 0.2222222255555556, 0.2222222255555556, 0.22222221805555553]","[0.22222221805555553, 0.22222221805555553, 0.1111111127777778, 0.1111111127777778, 0.22222221805555553]","[0.22222221805555553, 0.22222221805555553, 0.1111111127777778, 0.1111111127777778, 0.22222221805555553]","[0.22222221422222133, 0.2222222502222253, 0.22222221422222133, 0.22222219622221917, 0.22222221422222138]","[0.22222221422222133, 0.22222221422222138, 0.11111112511111265, 0.11111110711111066, 0.22222219622221917]","[0.22222221422222138, 0.2222222502222253, 0.22222221422222133, 0.22222219622221917, 0.22222221422222138]","[0.2222222255555556, 0.2222222255555556, 0.2222222255555556, 0.2222222255555556, 0.22222221805555553]","[0.22222221805555553, 0.22222221805555553, 0.1111111127777778, 0.1111111127777778, 0.22222221805555553]","[0.22222221422222133, 0.2222222502222253, 0.22222221422222133, 0.22222219622221917, 0.22222221422222138]"
E,r,E,283,r,E,E,r,E,r,r,E,r
"[0.22222220972222217, 0.22222220972222217, 0.11111111611111114, 0.11111111611111113, 0.22222220972222217]","[0.22222223555555579, 0.22222223555555579, 0.2222222205555555, 0.22222222055555554, 0.2222222205555555]","[0.22222220972222217, 0.22222220972222217, 0.11111111611111114, 0.11111111611111113, 0.22222220972222217]",284,"[0.22222223555555579, 0.22222223555555579, 0.2222222205555555, 0.22222222055555554, 0.2222222205555555]","[0.2222222205555555, 0.2222222205555555, 0.11111111777777789, 0.11111111777777789, 0.2222222205555555]","[0.22222222055555554, 0.2222222205555555, 0.11111111777777789, 0.11111111777777789, 0.2222222205555555]","[0.22222223222222226, 0.2222222322222223, 0.22222220972222217, 0.22222220972222323, 0.22222220972222217]","[0.22222220972222217, 0.22222220972222217, 0.11111111611111114, 0.11111111611111113, 0.22222220972222217]","[0.2222222322222223, 0.2222222322222223, 0.22222220972222217, 0.22222220972222217, 0.22222220972222217]","[0.22222223555555579, 0.22222223555555579, 0.2222222205555555, 0.22222222055555554, 0.2222222205555555]","[0.2222222205555555, 0.2222222205555555, 0.11111111777777789, 0.11111111777777789, 0.2222222205555555]","[0.22222223222222226, 0.2222222322222223, 0.22222220972222217, 0.22222220972222323, 0.22222220972222217]"
E,r,E,285,r,E,E,r,E,r,r,E,r
E,r,E,286,r,E,E,r,E,r,r,E,r
E,r,E,287,r,E,E,r,E,r,r,E,r
E,r,E,288,r,E,E,r,E,r,r,E,r
"[0.22222220722222294, 0.22222222222222224, 0.22222220722222188, 0.11111111111111112, 0.18518519018518495]","[0.22222222222222224, 0.22222222222222224, 0.22222222222222235, 0.18518519018518542, 0.22222222222222213]","[0.22222220722222294, 0.22222222222222224, 0.18518519018518495, 0.11111111111111112, 0.18518519018518495]",289,"[0.22222222222222224, 0.22222222222222224, 0.22222222222222235, 0.1481481731481486, 0.22222222222222213]","[0.22222220722222163, 0.22222222222222213, 0.18518519018518542, 0.11111111111111112, 0.18518519018518542]","[0.1851851901851852, 0.22222222222222213, 0.2222222072222223, 0.11111111111111117, 0.1851851901851852]","[0.22222222222222224, 0.22222222222222224, 0.22222222222222224, 0.14814817314814802, 0.22222222222222224]","[0.18518519018518495, 0.22222222222222224, 0.22222220722222188, 0.11111111111111112, 0.18518519018518495]","[0.22222222222222224, 0.22222222222222224, 0.22222222222222224, 0.18518519018518495, 0.22222222222222224]","[0.22222222222222213, 0.22222222222222224, 0.22222222222222235, 0.1851851901851852, 0.22222222222222213]","[0.22222220722222163, 0.22222222222222213, 0.2222222072222223, 0.11111111111111112, 0.1851851901851852]","[0.22222222222222224, 0.22222222222222224, 0.22222222222222224, 0.18518519018518495, 0.22222222222222224]"
E,r,E,290,r,E,E,r,E,r,r,E,r
E,r,E,291,r,E,E,r,E,r,r,E,r
E,r,E,292,r,E,E,r,E,r,r,E,r
E,"[0.23529411503529413, 0.23529411503529413, 0.23529411503529413, 0.23529411503529413, 0.23529411503529413]",E,293,"[0.23529411503529413, 0.23529411503529413, 0.235294126135294, 0.22549020042549017, 0.23529411503529413]","[0.23529411503529413, 0.23529411503529413, 0.11764705751764706, 0.11764704901764715, 0.11764705751764706]","[0.23529411503529413, 0.23529411503529413, 0.07843137167843138, 0.05882352875882353, 0.22549019782549015]",r,E,r,"[0.23529411503529413, 0.23529411503529413, 0.235294126135294, 0.22549020042549017, 0.23529411503529413]","[0.23529411503529413, 0.23529411503529413, 0.11764705751764706, 0.11764704901764715, 0.22549019782549015]",r
"[0.2222222142222229, 0.22222220822222427, 0.11111111911110987, 0.11111110711111145, 0.22222220822222427]","[0.22222222422222224, 0.22222222422222224, 0.22222222422222224, 0.22222222422222224, 0.22222222422222224]","[0.2222222142222229, 0.22222220822222427, 0.11111111911110987, 0.11111110711111145, 0.22222220822222427]",294,"[0.22222222422222224, 0.22222222422222224, 0.22222222422222224, 0.22222222422222224, 0.22222222422222224]","[0.22222222422222207, 0.22222221522222216, 0.11111111211111112, 0.11111111211111112, 0.22222222422222224]","[0.22222222422222224, 0.22222221522222216, 0.11111111211111112, 0.11111111211111112, 0.22222222422222224]","[0.2222222142222229, 0.22222223822221973, 0.2222222142222229, 0.22222220822222427, 0.2222222142222229]","[0.2222222142222229, 0.2222222202222229, 0.11111111911110987, 0.11111110711111145, 0.22222220822222427]","[0.2222222202222229, 0.22222223822221973, 0.2222222202222229, 0.22222220822222427, 0.2222222142222229]","[0.22222222422222224, 0.22222222422222224, 0.22222222422222224, 0.22222222422222224, 0.22222222422222224]","[0.22222222422222207, 0.22222221522222216, 0.11111111211111112, 0.11111111211111112, 0.22222222422222224]","[0.2222222142222229, 0.22222223822221973, 0.2222222142222229, 0.22222220822222427, 0.2222222142222229]"
E,r,E,295,r,E,E,r,E,r,r,E,r
E,r,E,296,r,E,E,r,E,r,r,E,r
E,r,E,297,r,E,E,r,E,r,r,E,r
E,r,E,298,r,E,E,r,E,r,r,E,r
E,r,E,299,r,E,E,r,E,r,r,E,r
E,r,E,300,r,E,E,r,E,r,r,E,r
"[0.2222222232222223, 0.22222221222222174, 0.11111111811111138, 0.1111111071111108, 0.22222221222222174]","[0.22222222022222218, 0.22222222922222232, 0.24999999437499995, 0.22222222022222218, 0.22222222472222225]","[0.2222222232222223, 0.22222221222222174, 0.11111111161111116, 0.08333333258333328, 0.22222221222222174]",301,"[0.22222222472222225, 0.22222222922222232, 0.22222222472222225, 0.22222222022222218, 0.22222222472222225]","[0.22222222022222218, 0.22222222022222218, 0.11111110561111104, 0.08333333145833331, 0.22222222022222218]","[0.22222222472222225, 0.22222222022222218, 0.11111111461111116, 0.11111111011111117, 0.22222222022222218]","[0.22222222322222232, 0.22222222322222232, 0.2222222232222223, 0.22222221222222174, 0.2222222232222223]","[0.2222222232222223, 0.22222221222222174, 0.11111111811111138, 0.1111111071111108, 0.22222221222222174]","[0.22222222322222232, 0.22222222322222232, 0.2222222232222223, 0.22222221222222174, 0.2222222232222223]","[0.22222222472222225, 0.22222222922222232, 0.22222222472222225, 0.22222222022222218, 0.22222222472222225]","[0.22222222472222225, 0.22222222022222218, 0.11111110561111104, 0.11111111011111117, 0.22222222022222218]","[0.22222222322222232, 0.22222222322222232, 0.24999999774999984, 0.22222221222222174, 0.2222222232222223]"
"[0.22222221222222205, 0.22222221222222205, 0.11111112111111128, 0.1111111144444449, 0.22222221222222205]",r,"[0.22222221222222205, 0.22222221222222205, 0.11111112111111128, 0.08333333333333336, 0.22222221222222205]",302,r,E,E,"[0.22222221222222205, 0.22222224222222256, 0.22222224888888897, 0.22222221222222205, 0.22222221222222205]","[0.22222221222222205, 0.22222221222222205, 0.11111112111111128, 0.1111111144444449, 0.11111112444444449]","[0.22222221222222205, 0.22222224222222256, 0.22222224888888897, 0.22222221222222205, 0.22222221222222205]",r,E,"[0.22222221222222205, 0.22222224222222256, 0.25000000000000006, 0.22222221222222205, 0.22222221222222205]"
E,r,E,303,r,E,E,r,E,r,r,E,r
E,r,E,304,r,E,E,r,E,r,r,E,r
"[0.24999998666666612, 0.24999998666666612, 0.22499994099999898, 0.10000001600000068, 0.15000002400000095]",r,"[0.2499999866666661, 0.24999998666666612, 0.12500002000000082, 0.06249999666666653, 0.12499999333333305]",305,r,E,E,"[0.24999998666666612, 0.25000004000000164, 0.24999998666666612, 0.12499999333333306, 0.15000003900000025]","[0.24999998666666612, 0.15000002400000098, 0.13333329633333224, 0.10000001600000068, 0.15000002400000095]","[0.300000048000002, 0.2666665926666645, 0.24999998666666612, 0.15000002400000098, 0.15000003900000025]",r,E,"[0.24999998666666612, 0.25000004000000164, 0.2499999866666661, 0.12499999333333306, 0.24999998666666612]"
"[0.2222222222222222, 0.2222222222222222, 0.22222221222222305, 0.1111111111111111, 0.22222219222221862]","[0.22222222432748537, 0.22222222432748537, 0.22222222432748537, 0.16666666824561402, 0.22222222432748537]","[0.2222222222222222, 0.2222222222222222, 0.22222221222222305, 0.1111111111111111, 0.16666666666666669]",306,"[0.22222222432748537, 0.22222222432748537, 0.22222222432748537, 0.16666666824561402, 0.22222222432748537]","[0.22222222432748537, 0.22222222432748537, 0.22222221485380117, 0.11111111216374268, 0.16666666824561402]","[0.22222222432748537, 0.22222222432748537, 0.11111111808479525, 0.11111111216374268, 0.22222219709064336]","[0.2222222222222222, 0.2222222222222222, 0.2222222222222222, 0.11111115111111391, 0.2222222222222222]","[0.2222222222222222, 0.2222222222222222, 0.11111112111111232, 0.1111111111111111, 0.22222219222221862]","[0.2222222222222222, 0.22222224222222464, 0.2222222222222222, 0.22222219222221862, 0.2222222222222222]","[0.22222222432748537, 0.2222222361695905, 0.22222222432748537, 0.22222219709064336, 0.22222222432748537]","[0.22222222432748537, 0.22222222432748537, 0.22222221485380117, 0.16666663153508784, 0.22222219709064336]","[0.2222222222222222, 0.2222222222222222, 0.2222222222222222, 0.16666666666666669, 0.2222222222222222]"
"[0.2222222097222221, 0.22222223222222232, 0.11111111611111116, 0.11111104861110924, 0.2222222097222221]","[0.22222222522222232, 0.22222223422222245, 0.22222222522222232, 0.2222222207222222, 0.2222222207222222]","[0.2222222097222221, 0.22222223222222232, 0.11111111611111116, 0.11111104861110924, 0.2222222097222221]",307,"[0.22222222522222232, 0.22222223422222245, 0.22222222522222232, 0.2222222207222222, 0.2222222207222222]","[0.22222222522222232, 0.2222222207222222, 0.11111110811111098, 0.11111111261111116, 0.2222222207222222]","[0.2222222207222222, 0.2222222207222222, 0.11111111711111123, 0.11111111261111116, 0.2222222207222222]","[0.2222222097222221, 0.22222223222222232, 0.2222222097222221, 0.2222222097222221, 0.2222222097222221]","[0.2222222097222221, 0.2222222097222221, 0.11111111611111116, 0.11111111611111116, 0.2222222097222221]","[0.22222223222222232, 0.22222223222222232, 0.2222222097222221, 0.2222222097222221, 0.2222222097222221]","[0.22222222522222232, 0.22222223422222245, 0.22222222522222232, 0.2222222207222222, 0.2222222207222222]","[0.22222222522222232, 0.2222222207222222, 0.11111110811111098, 0.11111111261111116, 0.2222222207222222]","[0.2222222097222221, 0.22222223222222232, 0.2222222097222221, 0.2222222097222221, 0.2222222097222221]"
E,r,E,308,r,E,E,r,E,r,r,E,r
E,r,E,309,r,E,E,r,E,r,r,E,r
"[0.2222222226143789, 0.2222222149673201, 0.2222222149673201, 0.11111111130718945, 0.2222222149673201]","[0.2777777725277773, 0.222222234222223, 0.22222222072222228, 0.13888888626388865, 0.22222222459722213]","[0.2222222226143789, 0.2222222149673201, 0.2222222149673201, 0.11111111130718945, 0.13888888722222215]",310,"[0.22222222522222215, 0.222222234222223, 0.22222222522222215, 0.13888888626388865, 0.22222222459722213]","[0.22222222072222228, 0.2222222197222224, 0.22222222072222228, 0.11111111036111114, 0.13888888626388865]","[0.22222222072222228, 0.22222222072222228, 0.1111111171111115, 0.11111111261111108, 0.22222222072222228]","[0.2222222226143789, 0.22222222849673257, 0.2222222226143789, 0.11111113248366083, 0.2222222149673201]","[0.2222222226143789, 0.2222222149673201, 0.11111111326797407, 0.11111111130718945, 0.2222222149673201]","[0.2222222226143789, 0.22222222653594814, 0.2222222226143789, 0.2222222149673201, 0.2222222226143789]","[0.22222222522222215, 0.222222234222223, 0.22222222522222215, 0.22222222072222228, 0.22222222072222228]","[0.22222222072222228, 0.2222222197222224, 0.22222222459722213, 0.1388888627638883, 0.22222222072222228]","[0.2777777744444443, 0.22222222849673257, 0.2222222226143789, 0.13888888722222215, 0.2222222149673201]"
"[0.20000000125000017, 0.20000000125000017, 0.19999999499999932, 0.19999999000000104, 0.20000000125000017]","[0.20000000045454555, 0.20000001727272615, 0.29999998636363706, 0.20000000045454555, 0.20000000045454555]","[0.20000000125000017, 0.20000000125000017, 0.19999999499999932, 0.09999999625000004, 0.20000000125000017]",311,"[0.20000000045454555, 0.20000001727272615, 0.2000000045454539, 0.20000000045454555, 0.20000000045454555]","[0.20000000045454555, 0.20000000045454555, 0.19999999818181785, 0.09999999545454569, 0.20000000045454555]","[0.20000000045454555, 0.20000000045454555, 0.1333333328787878, 0.19999999000000107, 0.20000000045454555]","[0.20000000125000017, 0.2000000124999996, 0.20000000125000017, 0.20000000125000017, 0.20000000125000017]","[0.20000000125000017, 0.20000000125000017, 0.13333333208333317, 0.19999999000000104, 0.20000000125000017]","[0.20000000125000017, 0.26666666416666635, 0.20000000125000017, 0.20000000125000017, 0.20000000125000017]","[0.20000000045454555, 0.2666666657575756, 0.2000000045454539, 0.20000000045454555, 0.20000000045454555]","[0.20000000045454555, 0.20000000045454555, 0.19999999818181785, 0.19999999000000107, 0.20000000045454555]","[0.20000000125000017, 0.2000000124999996, 0.2999999887500001, 0.20000000125000017, 0.20000000125000017]"
E,r,E,312,r,E,E,r,E,r,r,E,r
E,r,E,313,r,E,E,r,E,r,r,E,r
E,r,E,314,r,E,E,r,E,r,r,E,r
E,r,E,315,r,E,E,r,E,r,r,E,r
E,r,E,316,r,E,E,r,E,r,r,E,r
E,r,E,317,r,E,E,r,E,r,r,E,r
"[0.2222222153472222, 0.2222222153472222, 0.22222222097222222, 0.11111109642361106, 0.2222222153472222]","[0.2222222222222222, 0.22222222650793638, 0.2222222222222222, 0.22222221579365078, 0.2222222222222222]","[0.2222222153472222, 0.2222222153472222, 0.11111111611111113, 0.11111111048611111, 0.2222222153472222]",318,"[0.2222222222222222, 0.2222222222222222, 0.2222222222222222, 0.18518519018518517, 0.2222222222222222]","[0.2222222222222222, 0.22222221579365078, 0.11111111325396819, 0.1111111111111111, 0.22222221579365078]","[0.2222222222222222, 0.18518519018518517, 0.2222222072222223, 0.1111111111111111, 0.18518519018518517]","[0.22222222097222222, 0.2222222462847223, 0.22222222097222222, 0.11111112954861202, 0.2222222153472222]","[0.2222222153472222, 0.18518518674768547, 0.2222222153472222, 0.1111111076736111, 0.18518518674768547]","[0.2222222153472222, 0.2222222462847223, 0.2222222153472222, 0.18518518674768547, 0.2222222153472222]","[0.2222222222222222, 0.2222222222222222, 0.2222222222222222, 0.18518519018518517, 0.2222222222222222]","[0.2222222222222222, 0.22222221579365078, 0.2222222072222223, 0.18518516232804239, 0.22222221579365078]","[0.22222222097222222, 0.22222223222222226, 0.22222222097222222, 0.2222222153472222, 0.2222222153472222]"
E,r,E,319,r,E,E,r,E,r,r,E,r
E,r,E,320,r,E,E,r,E,r,r,E,r
"[0.22222221222222316, 0.22222224022222106, 0.11111112311110946, 0.11111110611111158, 0.22222221222222316]",r,"[0.22222221222222316, 0.22222224022222106, 0.11111112311110946, 0.11111110611111158, 0.11111112011111053]",321,r,E,E,"[0.22222224022222106, 0.22222224022222106, 0.22222221222222316, 0.22222221222222316, 0.22222224022222106]","[0.22222221222222316, 0.22222224022222106, 0.0833333268333337, 0.11111110611111158, 0.22222221222222316]","[0.22222224022222106, 0.2499999805000011, 0.22222221222222316, 0.22222221222222316, 0.22222224022222106]",r,E,"[0.22222224022222106, 0.22222224022222106, 0.22222221222222316, 0.22222221222222316, 0.22222224022222106]"
"[0.22222222507936523, 0.22222221222222174, 0.22222220722222127, 0.11111111111111112, 0.22222221222222174]","[0.2222222222222222, 0.2222222222222222, 0.25, 0.22222221516339866, 0.2222222222222222]","[0.22222222507936523, 0.22222221222222174, 0.11111111253968262, 0.08333333119047606, 0.22222221222222174]",322,"[0.2222222222222222, 0.2222222222222222, 0.2222222222222222, 0.18518519018518512, 0.2222222222222222]","[0.2222222222222222, 0.22222221516339866, 0.1111111111111111, 0.08333333333333333, 0.22222221516339866]","[0.2222222222222222, 0.18518519018518512, 0.22222220722222233, 0.1111111111111111, 0.18518519018518512]","[0.22222222507936523, 0.22222222507936523, 0.22222222222222224, 0.11111114325397003, 0.22222222222222224]","[0.22222222222222224, 0.1851851901851855, 0.22222220722222127, 0.11111111111111112, 0.1851851901851855]","[0.22222222222222224, 0.22222222222222224, 0.22222222222222224, 0.1851851901851855, 0.22222222222222224]","[0.2222222222222222, 0.2222222222222222, 0.2222222222222222, 0.18518519018518512, 0.2222222222222222]","[0.2222222222222222, 0.22222221516339866, 0.22222220722222233, 0.18518516106753805, 0.22222221516339866]","[0.22222222507936523, 0.22222222507936523, 0.2499999935714282, 0.22222221222222174, 0.22222222507936523]"
