Trial,entani論文のPerfectIncorporation_wᴸ,entani論文のPerfectIncorporation_wᵁ,entani論文のPerfectIncorporation_wᴸ_1,entani論文のPerfectIncorporation_wᵁ_1,entani論文のPerfectIncorporation_wᴸ_2,entani論文のPerfectIncorporation_wᵁ_2,entani論文のPerfectIncorporation_wᴸ_3,entani論文のPerfectIncorporation_wᵁ_3,entani論文のCommonGround_wᴸ,entani論文のCommonGround_wᵁ,entani論文のCommonGround_wᴸ_1,entani論文のCommonGround_wᵁ_1,entani論文のCommonGround_wᴸ_2,entani論文のCommonGround_wᵁ_2,entani論文のCommonGround_wᴸ_3,entani論文のCommonGround_wᵁ_3,entani論文のPartialIncorporation_wᴸ,entani論文のPartialIncorporation_wᵁ,entani論文のPartialIncorporation_wᴸ_1,entani論文のPartialIncorporation_wᵁ_1,entani論文のPartialIncorporation_wᴸ_2,entani論文のPartialIncorporation_wᵁ_2,entani論文のPartialIncorporation_wᴸ_3,entani論文のPartialIncorporation_wᵁ_3,entani論文のPartialIncorporation_Ŵ
391,"[0.21538473538458527, 0.26000012833334235, 0.08999996749999754, 0.1199999566666634, 0.07692302692309064]","[0.3076921076923665, 0.3599998699999902, 0.15384605384618127, 0.2599999616666636, 0.1428571398571461]","[0.2599999616666636, 0.26000012833334235, 0.08999996749999754, 0.1199999566666634, 0.12999998083333286]","[0.26000012833334235, 0.3599998699999902, 0.1299999808333332, 0.2599999616666636, 0.13000006416667118]","[0.2153847353845854, 0.3076921076923642, 0.15384605384617375, 0.15384605384618233, 0.07692302692309064]","[0.3076921076923723, 0.3076921076923642, 0.15384605384618127, 0.2153847353845854, 0.10769236769228374]","[0.21538473538458527, 0.28571427971428676, 0.09523810023809204, 0.1428571398571445, 0.14285713985713613]","[0.2857143007142768, 0.28571427971428676, 0.14285713985714593, 0.21538473538458516, 0.1428571398571461]",E,r,E,r,E,r,E,r,"[0.26000000088235303, 0.2857142926373626, 0.13000001514706, 0.17230787583710291, 0.10615396174208275]","[0.26000000088235303, 0.30769210769230754, 0.15384605384615377, 0.17230787583710291, 0.14285713824175825]","[0.26000000088235303, 0.26000000088235303, 0.08999999691176441, 0.11999999588235255, 0.13000000044117652]","[0.26000000088235303, 0.35999998764705765, 0.13000001514706, 0.26000000088235303, 0.13000000044117652]","[0.21538473538461547, 0.30769210769230754, 0.15384605384615377, 0.15384605384615377, 0.07692302692307688]","[0.30769210769230754, 0.30769210769230754, 0.15384605384615377, 0.21538473538461547, 0.10769236769230774]","[0.21428571140109892, 0.2857142764835165, 0.09523809216117217, 0.1428571463186813, 0.14285713824175825]","[0.2857142764835165, 0.2857142926373626, 0.14285713824175825, 0.21428571140109892, 0.1428571463186813]","[[0.26000000088235303, 0.30769210769230754, 0.13000001514706, 0.17230787583710291, 0.13000000044117652], [0.26000000088235303, 0.30769210769230754, 0.15384605384615377, 0.17230787583710291, 0.10615396174208275], [0.26000000088235303, 0.2857142926373626, 0.13912069240142325, 0.17230787583710291, 0.14285713824175825]]"
392,"[0.1948051526999412, 0.3000000109090913, 0.06233768128502589, 0.07792210160628255, 0.0750000027272728]","[0.3200000100000071, 0.32000000999999234, 0.15000000545454883, 0.23999994500000016, 0.19480515269994125]","[0.2000000072727281, 0.3000000109090912, 0.1499999690909079, 0.10000000363636373, 0.0750000027272728]","[0.3000000109090913, 0.3000000109090912, 0.15000000545454584, 0.2000000072727281, 0.1499999690909079]","[0.19480515269994125, 0.3116882037935994, 0.06233768128502589, 0.07792210160628293, 0.10389613547504827]","[0.3116882037935994, 0.31168840642512946, 0.10389613547504693, 0.19480515269994125, 0.19480515269994125]","[0.239999945, 0.3200000099999917, 0.08000000250000114, 0.08000000249999792, 0.1199999725000023]","[0.3200000100000071, 0.3200000099999917, 0.1199999725, 0.23999994500000618, 0.16000000500000322]",E,r,E,r,E,r,E,r,"[0.26961027039986085, 0.2999999200000028, 0.10389613547505198, 0.18649379912509034, 0.09389605047504462]","[0.26961027039986085, 0.3199997599999963, 0.14999996000000138, 0.1948051526999307, 0.12000003500000053]","[0.19999998000000058, 0.2999999200000028, 0.14999996000000138, 0.10000003999999868, 0.07500002999999901]","[0.29999992000000275, 0.30000011999999604, 0.1499999600000014, 0.19999998000000058, 0.14999996000000138]","[0.1948051526999307, 0.31168820379357237, 0.062337681285031185, 0.07792210160628898, 0.10389613547505198]","[0.31168820379357237, 0.31168840642515594, 0.10389613547505198, 0.1948051526999307, 0.1948051526999307]","[0.24000007000000106, 0.3199997599999963, 0.08000006500000101, 0.08000006500000101, 0.12000003500000053]","[0.3199997599999963, 0.32000026000000403, 0.12000003500000053, 0.24000007000000106, 0.15999987999999815]","[[0.26961027039986085, 0.2999999200000028, 0.14999996000000138, 0.18649379912509034, 0.09389605047504462], [0.26961027039986085, 0.31168840642515594, 0.10389613547505198, 0.1948051526999307, 0.12000003500000053], [0.26961027039986085, 0.3199997599999963, 0.10389613547505198, 0.18649379912509034, 0.12000003500000053]]"
393,"[0.18181819781818, 0.3000000000000005, 0.05555556010101002, 0.09090907690909208, 0.06666667212121202]","[0.3333332951515161, 0.3636363076363684, 0.15000000000000024, 0.2571428271428565, 0.18181819781818045]","[0.2571428271428564, 0.30000000000000027, 0.10000000000000031, 0.10000000000000009, 0.08571427571428561]","[0.30000000000000093, 0.30000000000000027, 0.15000000000000024, 0.2571428271428564, 0.15000000000000024]","[0.18181819781818043, 0.30000000000000054, 0.09090907690909193, 0.09090907690909208, 0.09090907690909208]","[0.30000000000000054, 0.3636363076363684, 0.09090909890909013, 0.18181819781818076, 0.18181819781818043]","[0.2222222076767676, 0.3333332951515161, 0.05555556010101002, 0.11111112020202007, 0.06666667212121202]","[0.3333332951515161, 0.3333333606060601, 0.11111112020202007, 0.2222222076767676, 0.11111110383838407]",E,r,E,r,E,r,E,r,"[0.2999999300000019, 0.30000010499999713, 0.0909090989090906, 0.1818181978181813, 0.09393947812120984]","[0.2999999300000019, 0.33333329515151633, 0.12424228906060983, 0.1818181978181813, 0.09393947812120984]","[0.2571428971428561, 0.2999999300000019, 0.09999997666666731, 0.10000003499999904, 0.0857142990476187]","[0.2999999300000019, 0.30000010499999713, 0.14999996500000096, 0.2571428971428561, 0.14999996500000096]","[0.1818181978181812, 0.2999999300000019, 0.09090907690909142, 0.09090907690909142, 0.09090907690909142]","[0.2999999300000019, 0.3636363076363657, 0.0909090989090906, 0.1818181978181813, 0.1818181978181812]","[0.22222220767676812, 0.33333329515151633, 0.055555560101009954, 0.11111112020201991, 0.06666667212121194]","[0.33333329515151633, 0.3333333606060597, 0.11111112020201991, 0.22222220767676812, 0.11111110383838406]","[[0.2999999300000019, 0.30000010499999713, 0.12424228906060983, 0.1818181978181813, 0.09393947812120984], [0.2999999300000019, 0.33333329515151633, 0.0909090989090906, 0.1818181978181813, 0.09393947812120984], [0.2999999300000019, 0.33333329515151633, 0.0909090989090906, 0.1818181978181813, 0.09393947812120984]]"
394,"[0.23809524042857116, 0.25000040000000534, 0.09374990999999877, 0.1249998799999985, 0.07142857476190476]","[0.28571428038095237, 0.3749996399999963, 0.14285714019047652, 0.24999975999999707, 0.14285714019047602]","[0.23809524042857116, 0.28571428038095337, 0.14285714019047596, 0.14285714019047596, 0.07142857476190476]","[0.2857142803809525, 0.285714299047619, 0.14285714019047668, 0.23809524042857116, 0.14285714019047596]","[0.23809524042857125, 0.2857142803809529, 0.095238098571429, 0.14285714019047568, 0.14285714019047596]","[0.2857142803809529, 0.2857142990476188, 0.14285714019047652, 0.23809524042857125, 0.14285714019047602]","[0.24999975999999752, 0.2500004000000047, 0.09374990999999877, 0.12499987999999877, 0.08333325333333244]","[0.2500004000000047, 0.3749996399999963, 0.12499987999999873, 0.24999975999999707, 0.12500020000000234]",E,r,E,r,E,r,E,r,"[0.2500002399999927, 0.2857142857142857, 0.12500011999999636, 0.19642822142858246, 0.12500011999999616]","[0.2500002399999927, 0.2857142857142857, 0.1428571328571429, 0.2142852342857288, 0.14285713285714274]","[0.2142857142857143, 0.2857142857142857, 0.1428571328571429, 0.14285714285714288, 0.07142857142857144]","[0.2857142857142857, 0.28571428571428575, 0.14285714285714285, 0.2142857142857143, 0.14285714285714288]","[0.21428571428571433, 0.2857142857142857, 0.09523809523809523, 0.14285714285714285, 0.14285713285714274]","[0.2857142857142858, 0.2857142857142857, 0.14285714285714285, 0.21428571428571433, 0.14285714285714285]","[0.2500002399999927, 0.2500002399999927, 0.09374991000000274, 0.12499988000000366, 0.0833334133333309]","[0.2500002399999927, 0.37499964000001096, 0.12500011999999636, 0.2500002399999927, 0.12500011999999636]","[[0.2500002399999927, 0.2857142857142857, 0.1428571328571429, 0.19642822142858246, 0.12500011999999616], [0.2500002399999927, 0.2857142857142857, 0.12500011999999636, 0.19642822142858246, 0.14285713285714274], [0.2500002399999927, 0.2857142857142857, 0.12500011999999636, 0.2142852342857288, 0.12500011999999636]]"
395,"[0.18918920282555307, 0.3116884916883219, 0.05405405314496301, 0.07792212292208048, 0.04761914761903763]","[0.3333331933333473, 0.3333331933333473, 0.19480511480519028, 0.19480511480519028, 0.19047617047619247]","[0.19047617047619247, 0.3333331933333473, 0.08333329833333683, 0.08333329833333683, 0.04761914761903763]","[0.3333331933333473, 0.3333331933333473, 0.09523829523807525, 0.19047617047619247, 0.19047617047619247]","[0.18918920282555327, 0.3243243188697781, 0.05405405314496301, 0.10810810628992602, 0.05405405314496313]","[0.3243243188697792, 0.3243243188697781, 0.10810810628992626, 0.18918920282555327, 0.18918920282555327]","[0.19480511480519028, 0.3116884916883219, 0.1038961638961073, 0.07792212292208048, 0.07792212292208048]","[0.3116884916883219, 0.3116884916883219, 0.19480511480519028, 0.19480511480519028, 0.1038961638961073]",E,r,E,r,E,r,E,r,"[0.31168810668830005, 0.3116884916883219, 0.09523829523807525, 0.18918916918918902, 0.07055123555108833]","[0.31168810668830005, 0.3333331933333473, 0.1038961638961073, 0.19480511480519025, 0.07792212292208048]","[0.19047617047619247, 0.3333331933333473, 0.08333329833333683, 0.08333329833333683, 0.04761914761903763]","[0.3333331933333473, 0.3333331933333473, 0.09523829523807525, 0.19047617047619247, 0.19047617047619247]","[0.18918916918918902, 0.3243242768243239, 0.054054061554054116, 0.10810812310810823, 0.054054061554054116]","[0.3243242768243239, 0.3243243693243247, 0.10810812310810823, 0.18918916918918902, 0.18918916918918902]","[0.19480511480519028, 0.31168810668830005, 0.1038961638961073, 0.07792212292208048, 0.07792212292208048]","[0.31168810668830005, 0.3116884916883219, 0.19480511480519028, 0.19480511480519028, 0.1038961638961073]","[[0.31168810668830005, 0.3333331933333473, 0.09523829523807525, 0.18918916918918902, 0.07055123555108833], [0.31168810668830005, 0.3243243693243247, 0.09687623187610575, 0.18918916918918902, 0.07792212292208048], [0.31168810668830005, 0.3116884916883219, 0.1038961638961073, 0.19480511480519025, 0.07792212292208048]]"
396,"[0.16666667023809265, 0.3000000085714252, 0.06486484577395152, 0.07272721272729127, 0.05405412223589224]","[0.32432422886975476, 0.3636360636364593, 0.18181830681814248, 0.189189175552817, 0.18918917555282222]","[0.16666667023809265, 0.3000000085714252, 0.1666666595238085, 0.16666665952381507, 0.06666666380952602]","[0.3000000085714252, 0.333333319047631, 0.16666667023809265, 0.1666666702380919, 0.16666667023809265]","[0.18918917555282222, 0.32432422886975476, 0.06486484577395149, 0.10810807628991917, 0.05405412223589224]","[0.32432422886975476, 0.3243242288697575, 0.10810824447178102, 0.189189175552817, 0.18918917555282222]","[0.1818183068181447, 0.30000000857142695, 0.1818180318182232, 0.07272721272728788, 0.06060601060607675]","[0.30000000857142717, 0.3636360636364593, 0.18181830681814248, 0.1818183068181384, 0.09090901590911515]",E,r,E,r,E,r,E,r,"[0.2756757629484081, 0.3152335165970488, 0.10810824447175116, 0.16666667803030233, 0.0606060106060602]","[0.3243242288697742, 0.3243242288697742, 0.1818180318181806, 0.17657663203112464, 0.06666666575757582]","[0.16666666439393954, 0.2756757629484081, 0.16666666439393954, 0.16666666439393954, 0.06666666575757582]","[0.2756757629484081, 0.3333333287878791, 0.16666666439393954, 0.16666667803030233, 0.16666666439393954]","[0.18918917555282488, 0.3243242288697742, 0.06486484577395484, 0.10810807628992473, 0.05405412223587558]","[0.3243242288697742, 0.3243242288697742, 0.10810824447175116, 0.18918917555282488, 0.18918917555282488]","[0.1818183068181828, 0.2909094009090935, 0.1818180318181806, 0.07272721272727224, 0.0606060106060602]","[0.2909094009090935, 0.3636360636363612, 0.1818183068181828, 0.1818183068181828, 0.0909090159090903]","[[0.2756757629484081, 0.3243242288697742, 0.16666666439393954, 0.16666667803030233, 0.06666666575757582], [0.3243242288697742, 0.3243242288697742, 0.10810824447175116, 0.17657663203112464, 0.06666666575757582], [0.2756757629484081, 0.3152335165970488, 0.1818180318181806, 0.16666667803030233, 0.0606060106060602]]"
397,"[0.16666667023809892, 0.2962963820105853, 0.060606100606059254, 0.1481481910052925, 0.0666666638095244]","[0.3030300630303113, 0.33333331904762203, 0.1818180818181838, 0.22222217079364937, 0.16666667023809892]","[0.22222217079364937, 0.296296382010585, 0.098765460670195, 0.1481481910052925, 0.07407409550264625]","[0.2962963820105853, 0.296296382010585, 0.1481481910052922, 0.22222217079364937, 0.11111108539682407]","[0.1818180818181838, 0.3030300630303113, 0.06060610060606669, 0.15151525151514544, 0.07575762575757199]","[0.3030300630303113, 0.30303050303029677, 0.1818180818181838, 0.1818180818181838, 0.15151525151515186]","[0.16666667023809892, 0.29629638201058217, 0.1666666595238107, 0.16666665952381096, 0.0666666638095244]","[0.29629638201058217, 0.33333331904762203, 0.16666667023809892, 0.16666667023809767, 0.16666667023809892]",E,r,E,r,E,r,E,r,"[0.2777776849206284, 0.2962963820105869, 0.14814819100529344, 0.16666666666666666, 0.09259260973545072]","[0.2962961505820023, 0.3030300630303077, 0.16666665666666733, 0.16666666666666666, 0.09259260973545072]","[0.22222217079364787, 0.2962961505820023, 0.09876546067019563, 0.14814819100529344, 0.07407409550264672]","[0.2962961505820023, 0.2962963820105869, 0.14814819100529344, 0.22222217079364787, 0.11111108539682393]","[0.18181808181818382, 0.3030300630303077, 0.06060610060605981, 0.15151525151514952, 0.07575762575757476]","[0.3030300630303077, 0.30303050303029905, 0.18181808181818382, 0.18181808181818382, 0.15151525151514952]","[0.16666666666666669, 0.2777776849206284, 0.16666665666666733, 0.16666666666666666, 0.06666666666666667]","[0.2777776849206284, 0.3333333333333333, 0.16666666666666669, 0.16666666666666669, 0.16666666666666669]","[[0.2962961505820023, 0.2962963820105869, 0.14814819100529344, 0.16666666666666666, 0.09259260973545072], [0.28956246956228154, 0.3030300630303077, 0.14814819100529344, 0.16666666666666666, 0.09259260973545072], [0.2777776849206284, 0.2962963820105869, 0.16666665666666733, 0.16666666666666666, 0.09259260973545072]]"
398,"[0.22222218622222473, 0.2641510433962258, 0.07547167936320766, 0.1481481781481462, 0.05925927125925853]","[0.2962961942963027, 0.30188671745283097, 0.1509433587264153, 0.2641509108962265, 0.1320755216981129]","[0.22222218622222473, 0.2962961942963027, 0.09876545209876421, 0.1481481781481462, 0.05925927125925853]","[0.2962961942963027, 0.29629635629629264, 0.1481481781481462, 0.22222218622222475, 0.11111109311111236]","[0.2641509108962265, 0.2641510433962258, 0.07547167936320764, 0.1509433587264153, 0.1320754554481134]","[0.26415104339622597, 0.3018867174528306, 0.1509433587264153, 0.2641509108962265, 0.1320755216981129]","[0.22222218622222473, 0.2962961942963027, 0.09876545209876422, 0.14814817814814607, 0.05925927125925853]","[0.2962961942963027, 0.29629635629629236, 0.14814817814814607, 0.22222218622222473, 0.11111109311111274]",E,r,E,r,E,r,E,r,"[0.2641510433962258, 0.2753319598540307, 0.10621932203993419, 0.222222219261696, 0.1111111229532162]","[0.2641510433962258, 0.29629629234892785, 0.10621932203993419, 0.222222219261696, 0.13207545544811333]","[0.22222221926169594, 0.29629629234892785, 0.098765430782976, 0.148148146174464, 0.0592592584697856]","[0.29629629234892785, 0.296296292348928, 0.148148146174464, 0.22222221926169594, 0.11111112295321617]","[0.26415091089622666, 0.2641510433962258, 0.07547167936320767, 0.15094335872641534, 0.13207545544811333]","[0.2641510433962258, 0.3018867174528307, 0.15094335872641534, 0.26415091089622666, 0.1320755216981129]","[0.222222219261696, 0.2962962923489279, 0.09876543078297596, 0.14814814617446395, 0.05925925846978558]","[0.29629629234892807, 0.2962962923489279, 0.14814814617446395, 0.222222219261696, 0.1111111229532162]","[[0.2641510433962258, 0.29629629234892785, 0.10621932203993419, 0.222222219261696, 0.1111111229532162], [0.2641510433962258, 0.2753319598540307, 0.10621932203993419, 0.222222219261696, 0.13207545544811333], [0.2641510433962258, 0.2962962923489279, 0.10621932203993419, 0.222222219261696, 0.1111111229532162]]"
399,"[0.199999979999988, 0.2666667066666343, 0.0789474584210479, 0.07692310092308172, 0.05263163894737793]","[0.3157890736842407, 0.3157898336841916, 0.1999999799999883, 0.21052617578948912, 0.1578945368421204]","[0.2051282691281937, 0.3076922476922871, 0.15384612384613366, 0.07692310092308172, 0.10256413456410896]","[0.30769224769228715, 0.30769240369232687, 0.15384612384613366, 0.2051282691281937, 0.1538461238461706]","[0.19999997999999164, 0.2666667066666343, 0.13333335333334134, 0.13333335333333574, 0.0999999900000092]","[0.26666670666663717, 0.266666706666707, 0.1999999799999883, 0.19999997999999164, 0.13333335333332139]","[0.21052617578948613, 0.3157890736842407, 0.0789474584210479, 0.10526327789473054, 0.05263163894737793]","[0.3157890736842407, 0.3157898336841916, 0.10526327789471684, 0.21052617578948912, 0.1578945368421204]",E,r,E,r,E,r,E,r,"[0.2666667066666663, 0.2666667066666663, 0.10526327789474725, 0.16923078723076873, 0.10256413456410209]","[0.2666667066666663, 0.31578907368417597, 0.15438564491225693, 0.19999998000000016, 0.11228096175441032]","[0.20512826912820417, 0.3076922476923086, 0.1538461238461543, 0.07692310092307657, 0.10256413456410209]","[0.3076922476923086, 0.30769240369230627, 0.1538461238461543, 0.20512826912820417, 0.1538461238461543]","[0.19999998000000016, 0.2666667066666663, 0.13333335333333315, 0.13333335333333315, 0.09999999000000008]","[0.2666667066666663, 0.2666667066666663, 0.19999998000000016, 0.19999998000000016, 0.13333335333333315]","[0.2105261757894614, 0.31578907368417597, 0.07894745842106043, 0.10526327789474725, 0.052631638947373625]","[0.3157890736841759, 0.31578983368424174, 0.10526327789474725, 0.2105261757894614, 0.15789453684208798]","[[0.2666667066666663, 0.3076922476923086, 0.1538461238461543, 0.16923078723076873, 0.10256413456410209], [0.2666667066666663, 0.2666667066666663, 0.15438564491225693, 0.19999998000000016, 0.11228096175441032], [0.2666667066666663, 0.31578907368417597, 0.10526327789474725, 0.19999998000000016, 0.11228096175441032]]"
400,"[0.2105264197894737, 0.3125000095238125, 0.052631566947368195, 0.06250000190476213, 0.07812500238095085]","[0.3243243331478573, 0.3243243331478533, 0.1578945488420971, 0.24864860100159175, 0.16216216657392865]","[0.24864860100159175, 0.3243243331478533, 0.054054055524642215, 0.06486486662957067, 0.12432430050079588]","[0.3243243331478573, 0.3243243331478533, 0.12432430050078988, 0.24864860100159175, 0.16216216657392865]","[0.21052641978947564, 0.31578940168419867, 0.052631566947368175, 0.1578945488420971, 0.07894735042105044]","[0.3157894016842042, 0.31578940168420905, 0.1578945488420971, 0.21052641978947564, 0.10526320989474264]","[0.2105264197894737, 0.31250000952380935, 0.15625000476189932, 0.06250000190475685, 0.07812500238095085]","[0.31250000952381257, 0.31250000952380935, 0.15625000476189932, 0.21052641978946623, 0.15625000476190695]",E,r,E,r,E,r,E,r,"[0.26913246368492183, 0.3125, 0.12432434457432373, 0.15789454884210552, 0.10422299747297242]","[0.26913246368492183, 0.32432431682432455, 0.15624999000000023, 0.15789454884210552, 0.12432432607432427]","[0.24864865214864854, 0.32432431682432455, 0.05405405280405409, 0.06486486336486491, 0.12432432607432427]","[0.32432431682432455, 0.32432431682432455, 0.12432434457432373, 0.24864865214864854, 0.16216215841216228]","[0.2105264197894735, 0.3157894016842106, 0.05263156694736843, 0.15789454884210552, 0.07894735042105265]","[0.3157894016842106, 0.3157894016842106, 0.15789454884210552, 0.2105264197894735, 0.10526320989473675]","[0.1875, 0.3125, 0.15624999000000023, 0.0625, 0.078125]","[0.3125, 0.3125, 0.15625, 0.1875, 0.15625]","[[0.26913246368492183, 0.32432431682432455, 0.12432434457432373, 0.15789454884210552, 0.12432432607432427], [0.26913246368492183, 0.3157894016842106, 0.15192037589402524, 0.15789454884210552, 0.10526320989473675], [0.26913246368492183, 0.3125, 0.15624999000000023, 0.15789454884210552, 0.10422299747297242]]"
401,"[0.18181788181814754, 0.2545461345455343, 0.09876544876542871, 0.05263158382541698, 0.04938272438271451]","[0.3157894566110409, 0.3636357636362933, 0.18181788181814773, 0.22222219222222842, 0.15789472830551898]","[0.22222219222222683, 0.2962962112963121, 0.09876544876542871, 0.14814817314814308, 0.04938272438271436]","[0.2962962112963121, 0.29629634629628615, 0.14814817314814513, 0.22222219222222842, 0.11111109611111342]","[0.18181788181814795, 0.2545461345455343, 0.18181788181814723, 0.07272715272725866, 0.09090894090907387]","[0.2545461345455354, 0.3636357636362933, 0.18181788181814773, 0.1818178818181419, 0.12727306727276716]","[0.18421052021822987, 0.3157894566110409, 0.15789472830552037, 0.052631583825417105, 0.06315790059049893]","[0.3157894566110409, 0.31578950295250263, 0.15789472830552043, 0.18421052021822987, 0.15789472830551898]",E,r,E,r,E,r,E,r,"[0.2535889923561618, 0.29186630309837247, 0.14814817314814657, 0.18181788181818628, 0.09090894090909314]","[0.2535889923561618, 0.31578945661103913, 0.18181788181818628, 0.21105754729030535, 0.09090894090909314]","[0.2222221922222241, 0.2962962112963018, 0.09876544876543104, 0.14814817314814657, 0.04938272438271552]","[0.2962962112963018, 0.29629634629629314, 0.14814817314814657, 0.2222221922222241, 0.11111109611111206]","[0.18181788181818628, 0.2545461345454444, 0.18181788181818628, 0.07272715272727451, 0.09090894090909314]","[0.2545461345454444, 0.36363576363637257, 0.18181788181818628, 0.18181788181818628, 0.1272730672727222]","[0.1842105202182283, 0.31578945661103913, 0.15789472830551957, 0.05263158382541736, 0.06315790059050083]","[0.3157894566110393, 0.3157895029525042, 0.15789472830551957, 0.1842105202182283, 0.15789472830551965]","[[0.2535889923561618, 0.29629634629629314, 0.14814817314814657, 0.21105754729030535, 0.09090894090909314], [0.2535889923561618, 0.29186630309837247, 0.18181788181818628, 0.18181788181818628, 0.09090894090909314], [0.2535889923561618, 0.31578945661103913, 0.15789472830551965, 0.18181788181818628, 0.09090894090909314]]"
402,"[0.18181818739957617, 0.25641032307692524, 0.10256408589743536, 0.06593406911053681, 0.09090908602536951]","[0.3296703134350341, 0.36363634410147805, 0.1818181873995779, 0.25641023641025534, 0.12820516153846262]","[0.18181818739957617, 0.27272726575052886, 0.12121211470049269, 0.18181817205074374, 0.09090908602536951]","[0.2727272657505286, 0.36363634410147805, 0.18181818739958144, 0.18181818739957628, 0.09090909369978808]","[0.25641023641025534, 0.2564103230769251, 0.1025640858974361, 0.1538461288461543, 0.12820511820512762]","[0.2564103230769251, 0.3076922576923068, 0.1538461288461543, 0.25641023641025534, 0.12820516153846262]","[0.19780219127278376, 0.3296703134350341, 0.1098901044783453, 0.06593406911053681, 0.10989011518422877]","[0.3296703134350341, 0.3296703455526841, 0.16483515671751708, 0.19780219127278348, 0.10989011518422877]",E,r,E,r,E,r,E,r,"[0.2527472503788309, 0.3076923226923086, 0.12587414327412666, 0.18181817941818196, 0.09090910290909023]","[0.25641023641025523, 0.34498833798834605, 0.12587414327412666, 0.18181817941818196, 0.12820511820512762]","[0.18181817941818196, 0.27272726912727296, 0.1212121196121213, 0.18181817941818196, 0.09090908970909098]","[0.27272726912727296, 0.3636363588363639, 0.18181817941818196, 0.18181817941818196, 0.09090910290909023]","[0.25641023641025523, 0.25641023641025523, 0.10256410756410288, 0.1538461613461543, 0.12820511820512762]","[0.25641023641025523, 0.3076923226923086, 0.1538461613461543, 0.25641023641025523, 0.12820511820512762]","[0.19780219451272404, 0.3296703201966455, 0.10989010673221516, 0.06593406882880279, 0.10989010673221516]","[0.3296703201966455, 0.3296703441440139, 0.16483516009832275, 0.19780219451272404, 0.10989010673221516]","[[0.25641023641025523, 0.34498833798834605, 0.12587414327412666, 0.18181817941818196, 0.09090910290909023], [0.25641023641025523, 0.3076923226923086, 0.12587414327412666, 0.18181817941818196, 0.12820511820512762], [0.2527472503788309, 0.3296703201966455, 0.12587414327412666, 0.18181817941818196, 0.10989010673221516]]"
403,"[0.21052632245614097, 0.31578948368421234, 0.10810816810811391, 0.052631580614035285, 0.054054084054056664]","[0.32432413432430524, 0.3243245043243424, 0.15789473267543921, 0.21052632245614128, 0.16216206716215306]","[0.21052632245614097, 0.31578946535087843, 0.15789473267543921, 0.10526315801378358, 0.07894736633771936]","[0.3157894740413547, 0.3157894740413528, 0.15789473267543921, 0.21052632245614097, 0.10526316122807049]","[0.21052632245614128, 0.31578948368421145, 0.1578947101754362, 0.052631580614035285, 0.10526316122807064]","[0.31578948368421145, 0.3157894836842117, 0.15789474184210495, 0.21052632245614128, 0.1578947101754367]","[0.21052632245614097, 0.32432413432430607, 0.1081081681081138, 0.08108112608108572, 0.054054084054056664]","[0.32432413432430524, 0.3243245043243421, 0.1081081681081138, 0.21052632245614097, 0.16216206716215306]",E,r,E,r,E,r,E,r,"[0.2596019028034745, 0.31578947368421056, 0.10810816810811197, 0.16145074544213933, 0.1052631645614034]","[0.2596019028034745, 0.32432413432431206, 0.15789472684210518, 0.20270263020269805, 0.1052631645614034]","[0.21052631578947362, 0.31578947368421056, 0.15789472684210518, 0.10526315789473685, 0.07894736842105263]","[0.31578947368421056, 0.31578947368421056, 0.15789473684210525, 0.21052631578947362, 0.10526315789473681]","[0.2105263291228068, 0.31578947368421056, 0.15789471350877213, 0.0526315822807017, 0.1052631645614034]","[0.31578947368421056, 0.3157894936842102, 0.15789473684210528, 0.2105263291228068, 0.15789471350877213]","[0.20270263020269805, 0.32432413432431206, 0.10810816810811197, 0.08108112608108398, 0.054054084054055984]","[0.32432413432431206, 0.3243245043243359, 0.10810816810811197, 0.20270263020269805, 0.16216206716215603]","[[0.2596019028034745, 0.31578947368421056, 0.15789472684210518, 0.16145073877547292, 0.10526315789473681], [0.2596019028034745, 0.31578947368421056, 0.15789471350877213, 0.16145074544213933, 0.1052631645614034], [0.2596019028034745, 0.32432413432431206, 0.10810816810811197, 0.20270263020269805, 0.1052631645614034]]"
