Trial,entani論文のCommonGround_wᴸ,解の非唯一性考慮のCommonGround_wᴸ,entani論文のCommonGround_wᵁ,解の非唯一性考慮のCommonGround_wᵁ,entani論文のCommonGround_wᴸ_1,解の非唯一性考慮のCommonGround_wᴸ_1,entani論文のCommonGround_wᵁ_1,解の非唯一性考慮のCommonGround_wᵁ_1,entani論文のCommonGround_wᴸ_2,解の非唯一性考慮のCommonGround_wᴸ_2,entani論文のCommonGround_wᵁ_2,解の非唯一性考慮のCommonGround_wᵁ_2,entani論文のCommonGround_wᴸ_3,解の非唯一性考慮のCommonGround_wᴸ_3,entani論文のCommonGround_wᵁ_3,解の非唯一性考慮のCommonGround_wᵁ_3
250,"[0.22222221297693875, 0.11111112450734063, 0.22222221297693875, 0.22222221297693875, 0.11111110865828001]","[0.2222222122222223, 0.11111112861111117, 0.2222222122222223, 0.2222222122222223, 0.11111110611111115]","[0.22222222788260051, 0.22222221297693875, 0.2222222331656203, 0.22222221731656003, 0.22222221297693875]","[0.22222225722222233, 0.22222223472222222, 0.2222222122222223, 0.2222222122222223, 0.2222222122222223]","[0.22222221297693875, 0.11111111394130026, 0.22222221297693875, 0.22222221297693875, 0.11111111394130023]","[0.2222222122222223, 0.11111112861111117, 0.2222222122222223, 0.2222222122222223, 0.11111110611111115]","[0.22222222788260051, 0.22222221297693875, 0.22222222788260046, 0.22222221731656003, 0.22222221297693875]","[0.22222225722222233, 0.22222223472222222, 0.2222222122222223, 0.2222222122222223, 0.2222222122222223]","[0.22222221297693875, 0.06666666817610044, 0.22222221297693875, 0.22222221297693875, 0.11111111658281014]","[0.2222222122222223, 0.06666667266666663, 0.2222222122222223, 0.2222222122222223, 0.11111110611111115]","[0.26666667270440175, 0.22222221297693875, 0.2222222331656203, 0.22222221297693875, 0.22222221297693875]","[0.26666669066666654, 0.22222223472222222, 0.2222222122222223, 0.2222222122222223, 0.2222222122222223]","[0.22222221297693875, 0.11111112450734063, 0.22222221297693875, 0.22222221297693875, 0.11111110865828001]","[0.2222222122222223, 0.11111112861111117, 0.2222222122222223, 0.2222222122222223, 0.11111110611111115]","[0.22222222788260051, 0.22222221297693875, 0.2222222331656203, 0.22222221731656003, 0.22222221297693875]","[0.22222225722222233, 0.22222223472222222, 0.2222222122222223, 0.2222222122222223, 0.2222222122222223]"
251,E,E,r,r,E,E,r,r,E,E,r,r,E,E,r,r
252,E,E,r,r,E,E,r,r,E,E,r,r,E,E,r,r
253,E,E,r,r,E,E,r,r,E,E,r,r,E,E,r,r
254,"[0.2222221922222236, 0.18518517518518562, 0.2222222222222222, 0.2222222222222222, 0.11111111611110996]","[0.22222219676767652, 0.18518518154882155, 0.22222222767676766, 0.22222222767676766, 0.11111111383838383]","[0.2222222222222222, 0.2222222222222222, 0.2222222222222222, 0.2222222222222222, 0.14814818814814634]","[0.22222222767676766, 0.22222222767676766, 0.22222222767676766, 0.22222222767676766, 0.1481481908754208]","[0.2222221922222236, 0.11111112111111066, 0.2222222222222222, 0.2222222222222222, 0.1111111111111111]","[0.22222219676767652, 0.11111111595959604, 0.22222222767676766, 0.22222221994949642, 0.11111111383838383]","[0.2222222422222213, 0.2222222222222222, 0.2222222222222222, 0.2222222222222222, 0.2222221922222236]","[0.22222223191919208, 0.22222221994949642, 0.22222222767676766, 0.22222222767676766, 0.22222219676767652]","[0.18518517518518562, 0.18518517518518562, 0.2222222222222222, 0.2222222222222222, 0.1111111111111111]","[0.18518518154882155, 0.18518518154882155, 0.22222222767676766, 0.22222222767676766, 0.11111111383838383]","[0.2222222222222222, 0.2222222222222222, 0.2222222222222222, 0.2222222222222222, 0.18518517518518562]","[0.22222222767676766, 0.22222222767676766, 0.22222222767676766, 0.22222222767676766, 0.18518518154882155]","[0.2222221922222236, 0.08333334083333299, 0.2222222222222222, 0.2222222222222222, 0.11111111611110996]","[0.22222219676767652, 0.08333333378787873, 0.22222222767676766, 0.22222222767676766, 0.11111112020202045]","[0.250000022499999, 0.2222222222222222, 0.2222222222222222, 0.2222222222222222, 0.2222221922222236]","[0.2500000013636362, 0.22222222767676766, 0.22222222767676766, 0.2222222404040409, 0.22222219676767652]"
255,E,E,r,r,E,E,r,r,E,E,r,r,E,E,r,r
256,E,E,r,r,E,E,r,r,E,E,r,r,E,E,r,r
257,E,E,r,r,E,E,r,r,E,E,r,r,E,E,r,r
258,E,E,r,r,E,E,r,r,E,E,r,r,E,E,r,r
259,E,E,r,r,E,E,r,r,E,E,r,r,E,E,r,r
260,"[0.22222220972222245, 0.11111111611111102, 0.22222221534722253, 0.22222220972222245, 0.22222220972222206]","[0.2222222188888888, 0.22222218888888892, 0.2222222188888889, 0.2222222188888889, 0.2222222188888889]","[0.22222223222222204, 0.11111114986111048, 0.22222222097222216, 0.22222220972222245, 0.22222220972222245]","[0.22222224888888886, 0.2222222188888889, 0.2222222188888889, 0.2222222188888889, 0.2222222188888889]","[0.22222220972222245, 0.11111111611111102, 0.22222220972222245, 0.11111111611111102, 0.22222220972222206]","[0.2222222188888889, 0.11111112444444443, 0.2222222188888889, 0.11111110944444445, 0.2222222188888889]","[0.22222223222222204, 0.22222220972222245, 0.22222223222222204, 0.22222220972222245, 0.22222220972222245]","[0.22222224888888886, 0.2222222188888889, 0.2222222188888889, 0.2222222188888889, 0.2222222188888889]","[0.22222218722222298, 0.11111111611111102, 0.22222221534722253, 0.22222218722222298, 0.11111112173611082]","[0.2222222188888889, 0.11111112444444443, 0.2222222188888889, 0.2222222188888889, 0.11111110944444445]","[0.22222223222222204, 0.22222221534722253, 0.22222224347222164, 0.22222218722222298, 0.22222220972222245]","[0.22222224888888886, 0.2222222188888889, 0.2222222188888889, 0.2222222188888889, 0.2222222188888889]","[0.22222220972222245, 0.11111111611111102, 0.22222221534722253, 0.22222221534722253, 0.11111111048611108]","[0.2222222188888888, 0.11111112444444443, 0.2222222188888889, 0.2222222188888889, 0.11111110944444445]","[0.22222223222222204, 0.22222221534722253, 0.22222222097222216, 0.22222222097222216, 0.22222220972222245]","[0.22222224888888886, 0.2222222188888889, 0.2222222188888889, 0.2222222188888889, 0.2222222188888889]"
261,E,E,r,r,E,E,r,r,E,E,r,r,E,E,r,r
262,E,E,r,r,E,E,r,r,E,E,r,r,E,E,r,r
263,"[0.22222222097222225, 0.1111111048611114, 0.22222221097222206, 0.22222222097222225, 0.11111110548611103]","[0.22222221347222218, 0.11111112361111122, 0.22222222472222225, 0.22222222472222225, 0.11111111236111113]","[0.22222222097222225, 0.22222223097222252, 0.22222221097222206, 0.22222223159722215, 0.22222223159722215]","[0.22222224722222245, 0.22222222472222225, 0.22222222472222225, 0.22222222472222225, 0.22222221347222218]","[0.22222223159722215, 0.05555555430555559, 0.22222221097222206, 0.22222222097222225, 0.11111110548611103]","[0.22222221347222218, 0.05555555430555554, 0.22222222472222225, 0.22222221722222368, 0.11111111236111113]","[0.27777777152777794, 0.22222223097222252, 0.22222221097222206, 0.22222223159722215, 0.22222223159722215]","[0.27777777152777766, 0.22222221722222368, 0.22222222472222225, 0.22222222472222225, 0.22222222472222225]","[0.22222222097222225, 0.1111111048611114, 0.22222221097222206, 0.11111110548611103, 0.11111110548611108]","[0.2222222133194439, 0.11111112361111122, 0.22222222472222225, 0.11111111236111113, 0.11111111236111113]","[0.22222222097222225, 0.22222223097222252, 0.22222221097222206, 0.22222223159722215, 0.22222223159722215]","[0.22222224722222245, 0.22222222472222225, 0.22222222472222225, 0.22222222472222225, 0.22222221347222218]","[0.22222222097222225, 0.1111111048611114, 0.22222221097222206, 0.22222222097222225, 0.11111110548611103]","[0.22222221347222218, 0.11111112361111122, 0.22222222472222225, 0.22222222472222225, 0.11111111236111113]","[0.22222222097222225, 0.22222222097222225, 0.22222221097222206, 0.22222223159722215, 0.22222223159722215]","[0.22222224722222245, 0.22222222472222225, 0.22222222472222225, 0.22222222472222225, 0.22222221347222218]"
264,E,E,r,r,E,E,r,r,E,E,r,r,E,E,r,r
265,E,E,r,r,E,E,r,r,E,E,r,r,E,E,r,r
266,E,E,r,r,E,E,r,r,E,E,r,r,E,E,r,r
267,E,E,r,r,E,E,r,r,E,E,r,r,E,E,r,r
268,E,E,r,r,E,E,r,r,E,E,r,r,E,E,r,r
269,E,E,r,r,E,E,r,r,E,E,r,r,E,E,r,r
270,E,E,r,r,E,E,r,r,E,E,r,r,E,E,r,r
271,"[0.2222222222222221, 0.11111111111111123, 0.22222222222222213, 0.2222222222222221, 0.1111111011111119]","[0.22222221888888885, 0.11111112444444461, 0.22222221888888885, 0.22222221888888885, 0.11111110944444422]","[0.22222222222222246, 0.22222223222222165, 0.22222222222222213, 0.2222222222222221, 0.2222222222222221]","[0.22222224888888922, 0.22222221888888885, 0.22222221888888885, 0.22222221888888885, 0.22222221888888885]","[0.22222222222222224, 0.11111111111111112, 0.22222222222222213, 0.11111111111111106, 0.11111111111111123]","[0.22222221888888885, 0.11111112444444461, 0.22222221888888885, 0.11111110741666651, 0.11111110944444422]","[0.22222222222222224, 0.22222223222222165, 0.22222222222222213, 0.22222222222222246, 0.2222222222222221]","[0.22222224888888922, 0.22222221888888885, 0.22222221888888885, 0.22222221888888885, 0.22222221888888885]","[0.2222222222222221, 0.11111111111111123, 0.22222222222222213, 0.2222222222222221, 0.11111111111111106]","[0.22222221888888885, 0.11111112444444461, 0.22222221888888885, 0.22222221888888885, 0.11111110944444422]","[0.22222222222222246, 0.22222223222222165, 0.22222222222222213, 0.2222222222222221, 0.2222222222222221]","[0.22222224888888922, 0.22222221888888885, 0.22222221888888885, 0.22222221888888885, 0.22222221888888885]","[0.2222222222222221, 0.11111111111111123, 0.22222222222222213, 0.2222222222222221, 0.1111111011111119]","[0.22222221888888885, 0.11111112444444461, 0.22222221888888885, 0.22222221888888885, 0.11111110944444443]","[0.22222222222222246, 0.22222222222222213, 0.22222222222222213, 0.2222222222222221, 0.2222222222222221]","[0.22222224888888922, 0.22222221888888885, 0.22222221888888885, 0.22222221888888885, 0.22222221888888885]"
272,E,E,r,r,E,E,r,r,E,E,r,r,E,E,r,r
273,E,E,r,r,E,E,r,r,E,E,r,r,E,E,r,r
274,E,E,r,r,E,E,r,r,E,E,r,r,E,E,r,r
275,E,E,r,r,E,E,r,r,E,E,r,r,E,E,r,r
276,E,E,r,r,E,E,r,r,E,E,r,r,E,E,r,r
277,"[0.22222222122222146, 0.11111110711111116, 0.2222222232222222, 0.2222222232222222, 0.11111110711111113]","[0.22222221972222225, 0.11111111361111106, 0.22222222722222212, 0.22222221972222225, 0.11111111361111106]","[0.22222222122222146, 0.22222223322222215, 0.22222222522222304, 0.2222222232222222, 0.2222222232222222]","[0.22222222722222212, 0.22222222722222212, 0.2222222272222228, 0.22222222722222212, 0.22222221972222225]","[0.2222222232222222, 0.08333333208333316, 0.2222222232222222, 0.2222222232222222, 0.1111111116111111]","[0.22222221972222225, 0.0833333314583332, 0.22222222722222212, 0.22222217922222312, 0.1111111136111114]","[0.24999999624999947, 0.22222223322222215, 0.22222222522222304, 0.2222222232222222, 0.2222222232222222]","[0.24999999437499962, 0.22222217922222312, 0.2222222272222228, 0.22222222722222212, 0.22222221972222225]","[0.22222222122222146, 0.11111111061111073, 0.2222222232222222, 0.2222222232222222, 0.1111111116111111]","[0.22222221972222225, 0.11111111361111106, 0.22222222722222212, 0.22222221972222225, 0.11111111361111106]","[0.22222222122222146, 0.22222223322222215, 0.2222222232222222, 0.2222222232222222, 0.2222222232222222]","[0.22222222722222212, 0.22222222722222212, 0.2222222272222228, 0.22222222722222212, 0.22222221972222225]","[0.22222222122222146, 0.11111110711111116, 0.2222222232222222, 0.2222222232222222, 0.11111110711111113]","[0.22222221972222225, 0.11111111361111106, 0.22222222722222212, 0.22222221972222225, 0.1111111136111114]","[0.22222222122222146, 0.2222222232222222, 0.22222222522222304, 0.2222222232222222, 0.2222222232222222]","[0.22222222722222212, 0.22222222722222212, 0.2222222272222228, 0.22222222722222212, 0.22222221972222225]"
278,E,E,r,r,E,E,r,r,E,E,r,r,E,E,r,r
279,E,E,r,r,E,E,r,r,E,E,r,r,E,E,r,r
280,"[0.22222222222222224, 0.11111110611111133, 0.2222222222222222, 0.2222222222222222, 0.11111111111111112]","[0.22222222067632857, 0.11111111033816429, 0.22222222644927536, 0.22222222067632857, 0.11111110574879209]","[0.22222222722222196, 0.2222222222222222, 0.22222222222222224, 0.22222222972222194, 0.22222222222222224]","[0.22222222067632857, 0.2222222321859906, 0.22222222644927536, 0.22222222067632857, 0.22222222185990317]","[0.22222222222222224, 0.11111111361111098, 0.2222222222222222, 0.2222222222222222, 0.11111111111111112]","[0.22222222067632857, 0.11111111033816429, 0.22222222644927536, 0.22222222067632857, 0.11111110574879209]","[0.22222222722222196, 0.2222222222222222, 0.22222222222222224, 0.22222222972222194, 0.22222222222222224]","[0.22222222067632857, 0.22222222644927536, 0.22222222644927536, 0.22222222067632857, 0.22222222185990317]","[0.22222222722222196, 0.11111110611111133, 0.2222222147222226, 0.1111111073611113, 0.11111110736111157]","[0.22222222067632857, 0.11111111033816429, 0.22222222644927536, 0.11111111322463768, 0.11111110574879209]","[0.22222222722222196, 0.2222222222222222, 0.2222222147222226, 0.22222222972222194, 0.22222222222222224]","[0.22222222067632857, 0.2222222321859906, 0.22222222644927536, 0.22222222067632857, 0.22222222067632857]","[0.22222222222222224, 0.11111110611111133, 0.2222222222222222, 0.2222222222222222, 0.11111111111111112]","[0.22222222067632857, 0.11111111033816429, 0.22222222644927536, 0.22222222067632857, 0.11111111033816429]","[0.22222222722222196, 0.2222222222222222, 0.22222222222222224, 0.2222222222222222, 0.22222222222222224]","[0.22222222067632857, 0.2222222321859906, 0.22222222644927536, 0.22222222067632857, 0.22222222185990317]"
281,E,"[0.2380952380952381, 0.07936507936507936, 0.23809521329365183, 0.21428570428571492, 0.11904761904761905]",r,"[0.2380952380952381, 0.214285719285714, 0.2380952380952381, 0.2380952380952381, 0.2380952380952381]",E,"[0.2380952380952381, 0.07936507936507936, 0.23809521329365183, 0.11904761904761905, 0.11904761904761905]",r,"[0.2380952380952381, 0.23809521329365183, 0.2380952380952381, 0.2380952380952381, 0.2380952380952381]",E,"[0.2380952380952381, 0.05952380952380953, 0.23809521329365183, 0.11904762049231109, 0.11904761904761905]",r,"[0.2380952380952381, 0.23809521329365183, 0.23809524098462218, 0.2380952380952381, 0.23809524098462218]",E,"[0.2380952380952381, 0.047619047619047616, 0.214285719285714, 0.21428570428571492, 0.11904761904761905]",r,"[0.2380952380952381, 0.214285719285714, 0.2380952380952381, 0.2380952380952381, 0.2380952380952381]"
282,E,E,r,r,E,E,r,r,E,E,r,r,E,E,r,r
283,E,E,r,r,E,E,r,r,E,E,r,r,E,E,r,r
284,E,E,r,r,E,E,r,r,E,E,r,r,E,E,r,r
285,E,E,r,r,E,E,r,r,E,E,r,r,E,E,r,r
286,"[0.22222222622222143, 0.11111111311111072, 0.22222220222222488, 0.22222221222222216, 0.11111111511111078]","[0.22222224037037178, 0.11111112018518589, 0.22222221361111022, 0.22222221222222188, 0.11111112018518592]","[0.22222222622222143, 0.22222220222222488, 0.22222223022222154, 0.22222223022222154, 0.22222222622222143]","[0.22222224037037178, 0.22222221361111022, 0.22222224037037183, 0.22222224037037178, 0.22222224037037178]","[0.22222222622222143, 0.11111111311111072, 0.22222220222222488, 0.11111111511111077, 0.11111111511111078]","[0.22222224037037178, 0.11111112018518589, 0.22222221361111022, 0.11111112018518592, 0.11111112018518589]","[0.22222222622222143, 0.22222220222222488, 0.22222223022222154, 0.22222223022222157, 0.22222222622222143]","[0.22222224037037178, 0.22222221361111022, 0.22222224037037183, 0.22222224037037178, 0.22222224037037178]","[0.22222222622222143, 0.0666666626666671, 0.22222220222222488, 0.22222221222222216, 0.11111111511111078]","[0.22222223316448914, 0.06666665721895346, 0.22222221361111022, 0.22222221222222188, 0.11111112018518592]","[0.2666666506666684, 0.22222220222222488, 0.22222223022222157, 0.22222223022222154, 0.22222222622222143]","[0.2666666288758138, 0.22222221361111022, 0.22222224037037183, 0.22222224037037178, 0.22222223316448914]","[0.22222223022222154, 0.08333332733333385, 0.22222220222222488, 0.22222221222222216, 0.11111111511111078]","[0.22222224037037178, 0.08333331972222117, 0.22222221361111022, 0.22222221222222188, 0.11111112018518592]","[0.24999998200000154, 0.22222220222222488, 0.22222223022222154, 0.22222223022222154, 0.22222223022222154]","[0.2499999591666635, 0.22222221361111022, 0.22222224037037183, 0.22222224037037178, 0.22222224037037178]"
287,E,E,r,r,E,E,r,r,E,E,r,r,E,E,r,r
288,E,E,r,r,E,E,r,r,E,E,r,r,E,E,r,r
289,"[0.23076921076923063, 0.10256399756409962, 0.2222222122222218, 0.22222219722222136, 0.11538460538461531]",E,"[0.23076927576923112, 0.20940177440171087, 0.22222224222222312, 0.22222224222222312, 0.22222224222222312]",r,"[0.22222224222222312, 0.08333331833333264, 0.2222222122222218, 0.2222222122222218, 0.11111112111111156]",E,"[0.24999995499999794, 0.2222222122222218, 0.22222224222222312, 0.22222224222222312, 0.22222224222222312]",r,"[0.22222224222222312, 0.06666663666666564, 0.22222219722222136, 0.22222219722222136, 0.1111111661111128]",E,"[0.26666654666666256, 0.22222219722222136, 0.2222223322222256, 0.22222224222222312, 0.22222224222222312]",r,"[0.23076921076923063, 0.07692309192307704, 0.20940177440171087, 0.11538460538461531, 0.11538460538461531]",E,"[0.23076927576923112, 0.20940177440171087, 0.23076921076923063, 0.23076921076923063, 0.23076921076923063]",r
290,E,E,r,r,E,E,r,r,E,E,r,r,E,E,r,r
291,"[0.2222222253472224, 0.08333332442708313, 0.22222221128472186, 0.22222222534722233, 0.11111111267361116]","[0.22222222222222224, 0.08333334025641057, 0.22222222222222224, 0.22222222222222224, 0.11111111111111112]","[0.24999999953124968, 0.2222222253472224, 0.22222222534722233, 0.2222222253472224, 0.2222222253472224]","[0.25000002076923167, 0.22222222222222224, 0.22222222222222224, 0.22222222222222224, 0.22222222222222224]","[0.2222222253472224, 0.08333332442708313, 0.22222222534722233, 0.22222222534722233, 0.11111111267361116]","[0.22222222222222224, 0.08333334025641057, 0.22222222222222224, 0.22222222222222224, 0.11111111111111112]","[0.24999999953124968, 0.2222222253472224, 0.22222222534722233, 0.2222222253472224, 0.2222222253472224]","[0.25000002076923167, 0.22222222222222224, 0.22222222222222224, 0.22222222222222224, 0.22222222222222224]","[0.2222222253472224, 0.06666666479166658, 0.22222221128472186, 0.22222222534722233, 0.11111111267361116]","[0.22222222222222224, 0.06666666666666665, 0.22222221540404033, 0.22222221540404033, 0.11111111111111112]","[0.2666666591666663, 0.2222222253472224, 0.22222222534722233, 0.2222222253472224, 0.2222222253472224]","[0.2666666666666666, 0.22222221540404033, 0.22222222222222224, 0.22222222222222224, 0.22222222222222224]","[0.2222222253472224, 0.06666666479166658, 0.22222221128472186, 0.22222221128472186, 0.11111111267361116]","[0.22222221356837588, 0.06666666666666665, 0.22222222222222224, 0.22222222222222224, 0.11111111111111112]","[0.2666666591666663, 0.22222221128472186, 0.22222222534722233, 0.2222222253472224, 0.2222222253472224]","[0.2666666666666666, 0.22222222222222224, 0.22222222222222224, 0.22222222222222224, 0.22222222222222224]"
292,E,E,r,r,E,E,r,r,E,E,r,r,E,E,r,r
293,E,E,r,r,E,E,r,r,E,E,r,r,E,E,r,r
294,"[0.222222209064327, 0.222222209064327, 0.222222209064327, 0.222222209064327, 0.11111111637426921]","[0.222222219722222, 0.222222219722222, 0.222222219722222, 0.222222219722222, 0.2222221897222223]","[0.222222209064327, 0.222222209064327, 0.22222223274853842, 0.22222223274853842, 0.11111113953216303]","[0.222222219722222, 0.222222219722222, 0.22222224222222223, 0.22222222722222232, 0.22222221972222228]","[0.22222223274853842, 0.06666666035087696, 0.222222209064327, 0.222222209064327, 0.11111111637426921]","[0.22222221972222228, 0.06666665916666664, 0.222222219722222, 0.222222219722222, 0.11111112111111111]","[0.2666666414035078, 0.222222209064327, 0.22222223274853842, 0.22222223274853842, 0.22222223274853842]","[0.26666663666666657, 0.222222219722222, 0.22222224222222223, 0.22222224222222223, 0.22222221972222228]","[0.22222220274854054, 0.11111111058479423, 0.222222209064327, 0.11111111637426921, 0.11111111637426921]","[0.222222219722222, 0.111111109861111, 0.222222219722222, 0.11111111908333297, 0.11111111361111116]","[0.22222222116958845, 0.222222209064327, 0.22222223274853842, 0.22222223274853842, 0.22222220274854054]","[0.222222219722222, 0.222222219722222, 0.22222224222222223, 0.22222222722222232, 0.22222221972222228]","[0.222222209064327, 0.222222209064327, 0.222222209064327, 0.11111111637426921, 0.11111111637426921]","[0.222222219722222, 0.222222219722222, 0.222222219722222, 0.11111112111111111, 0.11111111361111116]","[0.222222209064327, 0.222222209064327, 0.22222223274853842, 0.22222223274853842, 0.22222223274853842]","[0.222222219722222, 0.222222219722222, 0.22222224222222223, 0.22222222722222232, 0.22222221972222228]"
295,E,E,r,r,E,E,r,r,E,E,r,r,E,E,r,r
296,"[0.22222222603174574, 0.1111111087301589, 0.2222222174603178, 0.2222222155555561, 0.11111111301587287]","[0.22222221888888888, 0.1111111244444446, 0.22222221888888888, 0.2222222188888889, 0.11111110944444445]","[0.22222223460317367, 0.2222222174603178, 0.22222222603174574, 0.22222222603174574, 0.2222222174603178]","[0.2222222488888892, 0.22222221888888888, 0.22222221888888888, 0.2222222188888889, 0.22222221888888888]","[0.22222222603174574, 0.11111111730158683, 0.2222222174603178, 0.2222222155555561, 0.11111111301587287]","[0.22222221888888888, 0.1111111244444446, 0.22222221888888888, 0.2222222188888889, 0.11111110944444445]","[0.22222223460317367, 0.2222222174603178, 0.22222222603174574, 0.22222222603174574, 0.2222222174603178]","[0.2222222488888892, 0.22222221888888888, 0.2222222188888889, 0.2222222188888889, 0.22222221888888888]","[0.2222222174603178, 0.1111111087301589, 0.2222222174603178, 0.2222222155555561, 0.11111111301587287]","[0.22222221888888888, 0.1111111244444446, 0.22222221888888888, 0.22222221888888888, 0.11111110944444445]","[0.2222222174603178, 0.2222222174603178, 0.22222222603174574, 0.22222222603174574, 0.22222222174603196]","[0.2222222488888892, 0.22222221888888888, 0.22222221888888888, 0.2222222188888889, 0.22222221888888888]","[0.22222222603174574, 0.1111111087301589, 0.2222222174603178, 0.11111111301587287, 0.11111111301587287]","[0.22222221888888888, 0.11111112241666643, 0.22222221888888888, 0.11111110944444444, 0.11111110944444445]","[0.22222223460317367, 0.2222222174603178, 0.22222222603174574, 0.22222222603174574, 0.2222222174603178]","[0.2222222488888892, 0.22222221888888888, 0.22222221888888888, 0.2222222188888889, 0.22222221888888888]"
297,E,E,r,r,E,E,r,r,E,E,r,r,E,E,r,r
298,E,E,r,r,E,E,r,r,E,E,r,r,E,E,r,r
299,E,E,r,r,E,E,r,r,E,E,r,r,E,E,r,r
300,E,E,r,r,E,E,r,r,E,E,r,r,E,E,r,r
301,E,E,r,r,E,E,r,r,E,E,r,r,E,E,r,r
302,E,E,r,r,E,E,r,r,E,E,r,r,E,E,r,r
303,E,E,r,r,E,E,r,r,E,E,r,r,E,E,r,r
304,E,E,r,r,E,E,r,r,E,E,r,r,E,E,r,r
305,E,E,r,r,E,E,r,r,E,E,r,r,E,E,r,r
306,E,E,r,r,E,E,r,r,E,E,r,r,E,E,r,r
307,E,E,r,r,E,E,r,r,E,E,r,r,E,E,r,r
308,E,E,r,r,E,E,r,r,E,E,r,r,E,E,r,r
309,E,E,r,r,E,E,r,r,E,E,r,r,E,E,r,r
310,"[0.222222208376068, 0.1111111238034191, 0.22222220837606801, 0.222222208376068, 0.2222222006837597]","[0.22222221472222256, 0.2222221622222205, 0.22222222347222223, 0.2222222122222215, 0.22222221472222256]","[0.2222222476068382, 0.11111116303418933, 0.22222221952991492, 0.222222208376068, 0.2222222006837597]","[0.222222264722223, 0.22222221222222155, 0.2222222297222215, 0.22222221472222256, 0.22222221472222256]","[0.222222208376068, 0.1111111238034191, 0.22222220837606801, 0.11111111188034195, 0.222222208376068]","[0.22222221472222256, 0.1111111323611115, 0.22222222347222223, 0.11111111486111075, 0.22222221472222256]","[0.2222222476068382, 0.22222220837606801, 0.2222222237606839, 0.222222208376068, 0.222222208376068]","[0.222222264722223, 0.22222222347222223, 0.2222222297222215, 0.22222221472222256, 0.22222221472222256]","[0.2222222006837597, 0.1111111238034191, 0.22222220837606801, 0.2222222006837597, 0.08333333583333354]","[0.2222222122222215, 0.11111113986111323, 0.22222222347222223, 0.2222222122222215, 0.08333331833333227]","[0.2222222476068382, 0.22222220837606801, 0.2500000075000006, 0.2222222006837597, 0.2222222006837597]","[0.22222227972222647, 0.22222222347222223, 0.2499999549999968, 0.22222222347222223, 0.2222222122222215]","[0.222222208376068, 0.0666666478205122, 0.222222208376068, 0.222222208376068, 0.11111116649572805]","[0.22222221472222256, 0.0666666516666661, 0.22222221222222155, 0.22222221222222155, 0.11111114861111272]","[0.2666665912820488, 0.222222208376068, 0.22222221952991492, 0.2222223329914561, 0.222222208376068]","[0.2666666066666644, 0.22222221222222155, 0.2222222297222215, 0.22222229722222545, 0.22222221472222256]"
311,E,E,r,r,E,E,r,r,E,E,r,r,E,E,r,r
312,E,E,r,r,E,E,r,r,E,E,r,r,E,E,r,r
313,E,E,r,r,E,E,r,r,E,E,r,r,E,E,r,r
314,E,"[0.25, 0.12499999060052024, 0.25, 0.125, 0.1249999909687498]",r,"[0.25, 0.25, 0.25, 0.25, 0.24999999947395785]",E,"[0.25, 0.08333333333333333, 0.25, 0.125, 0.1249999909687498]",r,"[0.25, 0.25, 0.25, 0.25, 0.24999999947395785]",E,"[0.25, 0.125, 0.25, 0.125, 0.1249999909687498]",r,"[0.25, 0.25, 0.25, 0.25, 0.25]",E,"[0.25, 0.12499999060052024, 0.25, 0.125, 0.125]",r,"[0.25, 0.25, 0.25, 0.25, 0.24999999947395785]"
315,E,E,r,r,E,E,r,r,E,E,r,r,E,E,r,r
316,E,E,r,r,E,E,r,r,E,E,r,r,E,E,r,r
317,E,E,r,r,E,E,r,r,E,E,r,r,E,E,r,r
318,"[0.22222220388889086, 0.11111110944444458, 0.22222220388889086, 0.11111112444444288, 0.11111110944444463]","[0.24999999435546852, 0.12500001975586017, 0.24999999435546852, 0.12499999717773426, 0.12499999717773426]","[0.22222221888888916, 0.22222220388889086, 0.2222222488888863, 0.22222221888888916, 0.22222220388889086]","[0.25000003951172045, 0.24999999435546852, 0.24999999435546852, 0.24999999435546852, 0.24999999435546852]","[0.22222220388889086, 0.11111110944444458, 0.22222220388889086, 0.11111112444444288, 0.11111110944444463]","[0.24999999435546852, 0.12500001975586017, 0.24999999435546852, 0.12499999717773415, 0.12499999717773426]","[0.22222221888888916, 0.22222220388889086, 0.2222222488888863, 0.22222221888888916, 0.22222220388889086]","[0.25000003951172045, 0.24999999435546852, 0.24999999435546852, 0.24999999435546852, 0.24999999435546852]","[0.2222222038888908, 0.11111110944444458, 0.22222220388889086, 0.11111112444444288, 0.11111110944444458]","[0.24999999435546852, 0.12500001975586017, 0.24999999435546852, 0.12499999717773426, 0.12499999717773426]","[0.22222221888888916, 0.22222220388889086, 0.2222222488888863, 0.22222221888888916, 0.2222222038888908]","[0.25000003951172045, 0.24999999435546852, 0.24999999435546852, 0.24999999435546852, 0.24999999435546852]","[0.22222220388889086, 0.11111110944444458, 0.22222220388889086, 0.11111112444444304, 0.11111110944444463]","[0.24999999435546852, 0.12500001975586023, 0.24999999435546852, 0.12499999717773426, 0.12499999717773426]","[0.22222221888888916, 0.22222220388889086, 0.2222222488888861, 0.22222221888888927, 0.22222220388889086]","[0.25000003951172045, 0.24999999435546852, 0.24999999435546852, 0.24999999435546852, 0.24999999435546852]"
319,E,E,r,r,E,E,r,r,E,E,r,r,E,E,r,r
320,E,E,r,r,E,E,r,r,E,E,r,r,E,E,r,r
